dataset,total_samples,val_loss,test_loss,log_mae,log_r2,linear_mae,linear_mse
base,12412,0.0007538837574732,0.0009229092975147,0.1439389,0.980679,0.0174242639914155,0.0087673095986247
x32,31997,0.0004793856268016,0.0006303248446783,0.1876689,0.996314,3.7479885406205064e+20,inf
x48,47997,0.0004328233611886,0.0003949258563807,0.154406,0.997865,1.967702827197788e+20,inf
x64,63985,0.0004213351225749,0.000438271724436,0.1451658,0.997707,1.539638743656594e+20,inf
x80,79992,0.0005327427352312,0.0006592666195501,0.1470435,0.99646,2.1867607981916003e+20,inf
x96,96000,0.0004961680725069,0.0003812438262684,0.1318498,0.998183,1.6172173506154457e+20,inf
x112,112000,0.0003823515498052,0.0004262966262599,0.1237623,0.998034,1.6482716599623005e+20,inf
x128,128000,0.000422700397321,0.000408037804076,0.1257034,0.998052,1.5988220917657515e+20,inf
x144,144000,0.0003648887547475,0.0005551427481501,0.1169029,0.997585,1.3703092324091684e+20,inf
x160,160000,0.0003458000144291,0.0003891376163664,0.1156314,0.998166,1.687305849070399e+20,inf
x176,176000,0.0003892896017142,0.0004200627522045,0.1160878,0.997943,1.8904293034406468e+20,inf
x160_new,160000,0.00017745420620940422,0.00020550652197925956,0.05637751,0.999145,8.007039772528738e+19,inf
x160_mse,136000,0.0005053754302934976,0.0005053754302934976,nan,nan,6.417671481342254e+20,inf
