dataset,total_samples,test_loss,val_loss,test_mae_linear,log_mae,log_r2,training_time
x32,31997,0.0010557569185039029,0.0010683047335727938,7.60459625165226e+20,,,73.72565412521362
x48,47997,0.0005857436277437955,0.00092446404742077,2.9910741895439745e+20,,,103.11549019813538
x64,63985,0.0005847724844768111,0.0005165382518988246,1.573312814007666e+20,,,131.49573826789856
x80,79992,0.0007076042602420785,0.0005301788687575026,3.695100008223086e+20,,,161.53247904777527
x96,96000,0.0004920949460938573,0.0006230784086878167,1.8317462177101696e+20,,,216.6945698261261
x112,112000,0.0005196021877716041,0.0003580253168448425,2.8268092426258e+20,,,245.57031679153442
x128,128000,0.0004807231122798,0.00044953717064345256,1.8376753629194096e+20,,,268.2250509262085
x144,144000,0.0005623823769080142,0.0003634298622712557,1.984093672177541e+20,,,324.8204069137573
x160,160000,0.0003394750535790081,0.0003105062003214698,1.8408698827340828e+20,,,319.06713604927063
x176,176000,0.00041005493605755165,0.00044731122657789716,1.5968220808666297e+20,,,341.2014949321747
