species,MAE,R2,max_abundance,mean_abundance
N2,0.07642320279149274,0.6947329941242106,0.9999988064750734,0.21523052370938842
C5,0.05707481108148716,0.2116254453233073,0.9998601343472204,0.08433203606627131
S2,0.03296207620725541,0.7964102148863701,0.9992068492431604,0.09738474744341788
O2,0.027962695571635093,0.8848708086188966,0.9999912893493308,0.10261935535117092
H2,0.027101459599406536,0.8828850425620969,0.9999491499203704,0.09832305038862363
C1O1,0.019942365147947835,-0.03914802610612278,0.9846371637822166,0.0345233282216582
C1S2,0.01830102126371086,-0.4196744698133996,0.8630582363674313,0.024621619576850908
C,0.015906823701096136,0.44472130421232137,0.999889307583952,0.028505477063393122
H,0.013271046489007175,0.8612318337527282,0.9997945083560535,0.046657092793202654
O,0.012598413496697727,0.9138973988522043,0.9988716782259056,0.051486389207191736
C3,0.011776622108183867,0.6160943282166517,0.9689316357235984,0.02758249111210377
S,0.011049064754575906,0.9566372692719449,0.999985749864397,0.06437937540790681
C1S1,0.009024630714534252,-0.04182716609574988,0.9071535034235684,0.018088832835057442
C4N2,0.0071646010007906024,0.6174109423192962,0.8332546602012916,0.013187020283620387
C2H2,0.006054493220154825,0.3220912808722798,0.915864504028484,0.008270102488767831
O2S1,0.005807093527423745,0.7886673652502878,0.8536364948711903,0.014704689848137784
C3H1,0.004948034002349942,0.6411907503376596,0.6890457183845251,0.011476776843947644
H2O1,0.004207241841272968,0.6975380078940423,0.5152439871399219,0.010232754249877988
C1O2,0.003973438970788955,0.8234395705761177,0.6133774992454916,0.010098670871577899
H2S1,0.0036465298388449617,0.6818521426028656,0.4516400159307532,0.007867798627882555
e-,1.4060028627251453e-06,0.618973036517119,0.0006094938984211,2.6856788954218446e-06
