species,MAE,R2,max_abundance,mean_abundance
N2,8.855464070830752e+20,0.8206025974907032,6.642375409290971e+23,2.3059820207677616e+21
O2,5.75836085714704e+20,0.8600132541106243,4.522647189240058e+23,1.897968866468751e+21
C5,4.5172952384051655e+20,0.8100031677327497,4.7821948158134915e+23,1.3189039064813973e+21
H2,2.8483191856533232e+20,0.9082712326038787,4.082928421877503e+23,1.2006613429147575e+21
C1H4,1.608239149911753e+20,-0.6541306011076489,2.3888662059559943e+23,1.7075405317351716e+20
C1S2,1.4365907465618992e+20,0.9076422441843475,4.4126819557046055e+23,5.501647550639073e+20
S8,1.203755246674006e+20,0.718368911095802,2.1076040026943873e+23,2.818371436010641e+20
S7,1.1671023750522824e+20,0.8089187469737547,1.9062094023951983e+23,3.52698290292876e+20
O2S1,1.1546570275612195e+20,0.7842985091046348,2.0333343840561343e+23,3.143735126731967e+20
C4N2,1.0860853388719297e+20,0.7812402786547361,1.5120905598024103e+23,2.5263919510881885e+20
S2,8.867794723984153e+19,0.9392250602835973,1.072152257199078e+23,5.8337465747382134e+20
C1O1,7.064235281271946e+19,0.8596457238399046,1.8732864277986807e+23,2.2170414516581217e+20
H2S1,6.585279963968112e+19,0.9517712473909663,2.929181550887608e+23,3.394135061336787e+20
H2O1,5.795106976875001e+19,0.8682853032990419,1.3027440689522758e+23,1.7717794206147215e+20
C3H1,5.07819930465862e+19,0.7701422840481773,1.3694561096177624e+23,1.3947720882546314e+20
S4,4.704918500876628e+19,0.6961853562007212,8.187889272252146e+22,1.5892773337758073e+20
C1O2,4.09857418817478e+19,0.9174887912633861,1.4150126864234017e+23,1.3294999188859393e+20
S3,3.945710372022262e+19,0.705401508261555,8.187889272252146e+22,1.6852707095071674e+20
C2H2,3.925555258894652e+19,0.9005622308854897,1.9031461872533152e+23,1.6467566410300513e+20
S6,3.254584485487172e+19,0.5898983641548866,8.187889272252146e+22,9.924514821942798e+19
e-,244785955743.56226,0.8155897825546012,353229020459765.4,770367168858.7709
