species,MAE,R2,max_abundance,mean_abundance
N2,3.578149358602712e+20,0.9619164118197443,6.642375409290971e+23,2.3059820207677616e+21
C5,2.921253225109742e+20,0.9206708897028817,4.7821948158134915e+23,1.3189039064813973e+21
O2,1.8734976612992657e+20,0.977901715630151,4.522647189240058e+23,1.897968866468751e+21
H2,1.0917590243119961e+20,0.9838237055753829,4.082928421877503e+23,1.2006613429147575e+21
S7,8.184095638606494e+19,0.8901865033782292,1.9062094023951983e+23,3.52698290292876e+20
S8,7.22877217284483e+19,0.8905777673070217,2.1076040026943873e+23,2.818371436010641e+20
C4N2,5.870944087583805e+19,0.9162051309167186,1.5120905598024103e+23,2.5263919510881885e+20
H2S1,5.313116080276538e+19,0.9605392219840013,2.929181550887608e+23,3.394135061336787e+20
C1S2,5.043501583011272e+19,0.9848464600495228,4.4126819557046055e+23,5.501647550639073e+20
O2S1,5.035128149122637e+19,0.8528134987402013,2.0333343840561343e+23,3.143735126731967e+20
S2,4.402639424371178e+19,0.9661923423865489,1.072152257199078e+23,5.8337465747382134e+20
C1H4,3.963772359022234e+19,0.9406421662645195,2.3888662059559943e+23,1.7075405317351716e+20
H2O1,3.371506349314345e+19,0.8876148226676173,1.3027440689522758e+23,1.7717794206147215e+20
C3H1,3.1711617239814898e+19,0.9332102025148101,1.3694561096177624e+23,1.3947720882546314e+20
S4,2.9097378820172313e+19,0.7891505318158383,8.187889272252146e+22,1.5892773337758073e+20
C2H2,2.8620587366984856e+19,0.9661411962292463,1.9031461872533152e+23,1.6467566410300513e+20
S6,2.499971266177186e+19,0.7396569670566168,8.187889272252146e+22,9.924514821942798e+19
C1O1,2.484653409170628e+19,0.9800812655656598,1.8732864277986807e+23,2.2170414516581217e+20
S3,2.468208916359899e+19,0.7603889162652356,8.187889272252146e+22,1.6852707095071674e+20
C1O2,1.7029349690315102e+19,0.9818122683076117,1.4150126864234017e+23,1.3294999188859393e+20
e-,125546937922.63152,0.940208136772663,353229020459765.4,770367168858.7709
