T_K,P_bar,abund_H_dex,abund_O_dex,abund_C_dex,abund_N_dex,abund_S_dex,e-,H,O,C,N,S,C1H1,C1H1N1_1,C1H1N1_2,C1H1N1O1,C1H1O1,C1H2,C1H2O1,C1H3,C1H4,C1H4O2,C1N1,C1N1O1,C1N2_cnn,C1N2_ncn,C1O1,C1O1S1,C1O2,C1S1,C1S2,C2,C2H1,C2H2,C2H2O2,C2H2O4,C2H4,C2H4O1,C2H4O3,C2H6O2,C2N1,C2N1O1,C2N2,C2O1,C3,C3H1,C3N2O1,C3O2,C4,C4H6O4,C4N2,C5,H1N1,H1N1O1,H1N1O2cis,H1N1O2trans,H1N1O3,H1O1,H1O2,H1S1,H2,H2N1,H2N2,H2O1,H2O2,H2O4S1,H2S1,H3N1,H4N2,N1O1,N1O2,N1O3,N1S1,N2,N2O1,N2O3,N2O4,N2O5,N3,O1S1,O1S2,O2,O2S1,O3,O3S1,S2,S3,S4,S5,S6,S7,S8,C1+,C1-,C1H1+,C1H1-,C1H1O1+,C1N1+,C1N1-,C1O2-,C2-,H1+,H1-,H1O1+,H1O1-,H1S1-,H2+,H2-,H3O1+,N1+,N1-,N1O1+,N1O2-,N2+,N2-,N2O1+,O1+,O1-,O2+,O2-,S1+,S1-,comp_H,comp_O,comp_C,comp_N,comp_S,group_index,point_index,sample_MAE
1407.4815948988546,15911.018036375444,11.975548356339322,18.103458154047935,15.20840121952858,13.66307057769524,17.99103813505821,0.1137296723482673,2.1532640779625605,2136952021940551.2,1.10660200384099e-17,36774.4187523462,1.56470589516352e+17,1.427182396101896e-28,1.704625076141402e-15,2.5867717235746465e-17,1.1566770815509325e-07,5.886877058345071e-09,4.756824574061912e-37,3.3998439958624697e-20,6.98911136045985e-45,4.263373361226374e-54,2.133071917112472e-52,5.875591101630134e-10,0.691415330837811,9.991736176741385e-19,8.650565601005e-15,6301953569564.562,2866981470409643.5,2.237518758735465e+21,34.708703724433164,872930710.9923265,1.7285167358660433e-37,1.450097342802661e-40,3.1126955249213044e-48,8.070465448571921e-34,1.3551573543829846e-17,1.2826967929296865e-74,2.418682733352526e-72,1.2762756309752935e-53,2.5383288980250535e-102,3.026800441619692e-30,7.289358538078159e-18,2.0450767733921683e-25,3.3547710748998226e-18,6.04719968819315e-53,4.438712119729433e-59,7.841723640378829e-40,4.204894344394923e-22,3.4173174752084035e-76,1.1575535635757424e-124,4.514700614143072e-66,2.7475502326638335e-93,3.134865004755929e-07,161.44074108394324,33709632.188312076,41356159.18012776,66690286.38512091,35071082.143095694,208399226.91841355,7533675.780502375,3.097364508863453e-08,4.2105029486004504e-17,1.071914413078387e-21,24.10415651869201,0.0011272509727632,6.544618946683264e+17,0.0004329472776082,3.008081153385827e-25,1.7040952024326766e-49,5.986182999833034e+18,3.5537522234190717e+19,1.4152735621913176e+16,613645085901206.5,1.1101863515253584e+19,549262239944630.2,72698611393391.94,55977797836491.336,23744839598880.5,6.107049723861365,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,4.045576648367852e+17,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,8.187889272252146e+22,7.784202047911638e-37,7.506764654835398e-35,6.50032053909457e-46,2.51018783810991e-44,1.1004423794292417e-17,1.6402198448225095e-38,5.359894054612613e-18,759.7233436760317,7.35629397936235e-45,4.872422983414703e-28,2.4119705006587056e-19,4.358465192021862e-19,1.374979360985196e-08,1.94022382342739e-07,1.8408753130799132e-41,9.131304130249377e-38,5.79483450058794e-25,1.527136589552579e-26,2.0068969558183005e-17,1842551.6375173111,3971961.585127602,8.432155018595375e-16,4.48589994918783e-08,5.279621188699783e-10,3.947799708923946e-13,0.1103207544013646,112.01490335005433,26599.907557976592,14.875055205839958,1322.385258163274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7386550840619033e+22
1429.2157191123367,90485.94281788652,12.007335589920176,14.496481156800389,8.77599104626587,10.525812835799757,16.737366846156,198226.21722145288,4334842562577.508,833235767.8925216,7.912358119059975e-09,20089.049066520583,4122171500738443.0,1.3213309829295224e-07,258772.235051219,4235.0031753259955,3667411.3293451224,753999.0760400484,0.0005104560209942,5371485.560694409,8.331874511934029,5772.26040078668,2.1735516406073155e-08,0.0862736198586857,20.28882354915158,5.3348800434613445e-11,4.0095961070574555e-07,434222372090113.6,3554035297307315.5,3.045158400275045e+16,259464668.83565903,98527505577944.28,4.110800190289117e-20,3.275790953818736e-11,7.761017016200857e-07,9.292870983214224e-06,0.0064278356199532,5.849945421869922e-09,2.741932168980853e-13,6.038956874297501e-08,1.7363571412368616e-25,1.495913460430854e-13,6.50901676207983e-08,2.1828326580500287e-09,1.110018099192187e-07,3.933313060483467e-27,3.1349826564528844e-21,6.29354728053408e-22,6.903905124929609e-10,7.820748453089078e-42,3.2396439038985643e-44,5.269453806632353e-33,1.814378070042594e-50,223909.03184900605,23333500.46380005,1107005.7924219645,1354931.8406651162,0.5807661902128766,15764051189592.93,25317852.675946027,2.529882611779065e+17,7.113956428129531e+16,36606081.39540048,285.83723633542843,1.1386307382462292e+19,174370938.26573673,70963021830160.22,1.7829858287255245e+19,292186713262.6114,0.0910346908862595,562331250035.9191,880843.2068589283,0.0001056780221358,4836810770124.434,9.707163652482112e+17,15268879.940144826,1.6450113333909728e-07,3.303866021325447e-14,4.032970480611807e-21,0.2747140862884824,7.152443506813101e+18,2.9298383423501406e+21,62953496024.30089,7.598934827581356e+21,0.0110799167659402,4.64834368793819e+16,1.119110775829546e+22,6.730139988092156e+21,1.275291120592061e+22,4.506096082831532e+21,4.077278647926384e+22,1.9062094023951983e+23,1.814186577460194e+23,1.3411840791095313e-33,7.800155650322768e-20,1.3398734403160982e-30,3.253786257507271e-17,2.298541631826948e-09,8.316168868016912e-36,0.0008302366737141,16629.23362676361,1.7889758785970716e-21,3.168243513941134e-21,0.752456546178246,6.010159711639128e-19,8367.82213968033,8321080092.669412,1.7238174694595145e-22,4.917267652045254e-07,0.7047139073692635,3.034126731625888e-32,1.884787112628126e-11,3.240888006836265e-07,0.1246694071896734,3.0547336219392924e-22,0.0081806964817245,4.361169328024378e-23,4.978657562604173e-25,0.0609896858186366,2.380232165008533e-17,0.0034287448559802,8.412857145141762e-07,45708914.648144625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3690136007087948e+22
2449.6731990682288,126940.44873190035,12.000396599403272,7.795828961315725,15.91195694773725,15.156379605413326,9.499319265197338,3733145523.844801,53282187560896.85,22925.090736766328,201442673291734.1,487401707695.28094,26717698185202.375,296775088195.78503,1.2355512407326158e+17,1.5413177713154046e+16,2560713.90694425,35480791.06766449,4959136041.971873,6269.132223761067,116503914.46314594,215184.71920576697,4.3858751845074345e-24,1.9335220781154253e+17,21518992.073595747,56582662033.368416,9681623161658.47,1.3189805363222572e+16,28608129018.863487,323074.2664393103,6.65301116141218e+17,591002503063052.6,3.0739600922015892e+16,5.2855589949572474e+17,1.5941822696601174e+16,1.861360995453176e-06,6.2905223336940125e-28,9968259.73832995,8.047968312560865e-08,1.157757154341814e-26,1.3944690444530108e-33,1.5159939161581674e+19,186595824331.54236,8.17989984226945e+19,2293060940372.538,4.060881422679246e+20,2.105953552723031e+20,9163698446.62356,78857870.25164342,1.3772622729152251e+20,7.09758334415023e-51,1.5120905598024103e+23,2.2324348764167652e+23,597529746.8343532,0.0387571461147232,2.7861863536333545e-14,3.1964426534596364e-14,1.4283669653360102e-29,1573.1594741514646,3.94915373738071e-12,91415363025.32356,2384032719486.2505,1601240.6830518688,60.61266450385104,351.5739261258648,1.5515102226192661e-15,1.820610291919621e-41,132117265.7944849,21816.55725051333,2.0626109624893588e-08,100247.00859795068,1.2762502468080552e-10,4.82236417960949e-28,70703294448.13893,2.442833904282548e+18,5.081389246969446,2.506484576988338e-30,3.3890336710939064e-46,3.4988117760276775e-61,3991844.617093465,17258.848899736095,0.482094253088393,1.4001036244468969e-06,2.8684333874585214e-06,2.471370784811526e-25,3.973539306131163e-21,190522385667.1419,109821.51975221984,0.1824694882512488,1.3532065463538689e-08,7.1809839008742e-14,4.025523515839026e-19,1.8015541529244425e-25,142.01606428706677,231933.1633557683,1.4303325288527584,2568.265463660326,12.500839700057078,1.296898190230794,37232963152772.23,0.0002983525001046,11656866458554.338,0.0004393189894532,6053.722031833478,1.7144832891586137e-13,1.428801566525237e-05,9257.25228123674,3.732888110018277e-08,0.0008257192239898,4.5325246231460466e-11,2.042901897380914e-07,4.930845609138979,0.0002632883528826,5.1418927226900996e-17,0.007322544474304,41214.023637861486,1.7553927613293103e-14,1.60119814648721e-13,9.982773362752092e-05,3.245751878138569e-20,1.5575070014955059e-16,998.6704322932684,2167489.2107422883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1152162793742469e+22
1443.5905749144024,43055.293737559754,11.986487648160772,15.361845136291278,17.658240671659325,18.17627466374362,12.664613087353962,163.40952246766977,5369619086.691786,813.6612586256043,30333.784200469978,12910518.686085075,246568655163.30045,472.092720745408,2.7347545991681888e+17,4699042298670701.0,2530708816311.949,1348601592.4822812,1582.4816069703213,8678200.49851622,21808.08046135395,12939.066603838695,2.9532088902428754e-20,113109188047116.31,16882162531.430418,34578349.16207918,237238187334.22687,6.600217741621537e+20,2.5272295735360275e+17,2.915597406900355e+16,3.2787054530981836e+16,5.2020108364689395e+17,368858.9397092653,224333611790.18024,4468886262380.073,23.671798098860577,6.727807857650544e-09,30946.22836391133,1.0596620865908145e-06,9.673577598348369e-14,5.406230519601793e-31,462614994856119.6,119705568655721.0,2.384911851314506e+21,500491354305.1392,72804874225.0637,48275813523883.07,1106055828152311.0,3829806694486414.5,351410370.25146514,2.1185843832035317e-37,3.1308881350329257e+22,1741188746976.181,134945.25107202263,8.99667915826618,2.942690379840035e-07,3.596293645249706e-07,1.1758920031885296e-19,13309.7707899707,1.6481953608091706e-08,13960434816.298048,75683668947.60347,19756.58217917524,68.33897967794596,7830997.7482350925,1.046542481289763e-10,7.898370197550338e-22,885372409.098405,133633.08179172763,2.120610162259993e-08,208156969.8130888,0.0002475392317073,2.4560311986950375e-20,126114958106.35724,1.8166765325034688e+23,2446663.8513830863,1.6804044180136314e-20,2.543534544218995e-33,2.4928543679351982e-46,31792228.196320053,270522059.58564824,5029515.168166717,0.0396058676752875,177853.21515905688,6.271496082007095e-21,8.002287529872508e-07,28114975068778.74,816649011.9867878,74524.4393656605,1.2259533387795447,0.0005290941303563,1.1992473668155072e-07,5.417083382660091e-12,1.57389842136525e-17,2.1920386051465284e-10,1.392437981628415e-17,8.318025575384286e-11,0.0097838248492557,4.2089124169244215e-17,648975378.1503774,12.459176002945044,9.380330023806598,1.4511294975520568e-20,7.121369760446358e-07,1.81506018048706e-24,4.947829393880003e-09,0.3096512345340556,7.880490382195082e-25,5.22069166130789e-16,1.2214374773448814e-12,7.783497564689104e-26,9.895454107327144e-12,3.1208713254792874e-07,2.350041464070347e-14,2.4820863746556197e-13,1.4167269353542875,2.4487124298975415e-20,1.7992147950413982e-27,4.296829459525449e-11,4.889922091499859e-26,1.6932440676898629e-18,1.4297735924891892e-07,1.8763383241976077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.849544956544814e+21
1620.150847146691,74778.01577574463,11.950660785120876,7.865406970601346,10.462943989283756,6.404018106724432,12.334809687213973,272986651.3108912,5244074141101011.0,3318794.1211166405,790.8556822853391,1287528.8110096485,3.960636461658047e+16,552094.5751604392,7151978850204182.0,208289082036349.75,3462362578310.4536,4627265907426.944,38234320787.87025,953705566431210.0,8111336517453789.0,8.649933176830778e+19,24.63644924429094,316735938.7094935,1824965.278333585,0.5670483364166663,1451.5944926110817,4.0306150802474834e+18,1.745760340483342e+19,6333926571313688.0,2.1595785560542227e+17,1.1389253708326657e+22,1.1984960422199031,3761898335.339741,1106580953354898.8,24128413.116308905,12.609943279677116,2.834523740730427e+16,172072532.01235604,32073.83600832967,0.0004185033017615,176834.12660258746,869286.3398227977,139914560.84438953,5001645.558204289,7.466262146683049,64709546.41988011,0.74257856959697,23956696.078672834,6.758681051522768e-06,2.250049951099969e-15,26.629774478021705,1.5554042572619871e-06,644481626.7688553,1801402.8123672502,5.575354311232517,6.702711356656322,6.206473607936631e-10,1077543997063.3387,423.095366617969,8.99638414658501e+19,1.3640179494912204e+21,2744662461435.042,16925024.722436555,6.604788919153951e+18,107314.63452738366,11.440177171671245,1.7513321601023135e+23,2.976941831455039e+17,36962487.683165,278252521.8649486,0.0887056510227856,5.98997102989446e-15,30183796874460.863,3.4076992396518144e+17,4544.426739914846,6.69804486604721e-18,2.5274175171456804e-28,1.219260023897788e-38,3.9563410447924303,1602593156090779.0,2.4168039322141088e+17,7293.666774750393,30826611794853.97,1.9515075242713466e-12,26463.210670862416,1.578757581530925e+22,7.31058728666128e+21,1.0330156804153167e+22,1.8227296642662447e+21,1.0972470328108582e+22,4.145576739349543e+22,2.4745722251719945e+22,5.627486114314739e-21,2.648412216397697e-06,1.2822799463454663e-16,0.0343518475587546,0.0301677434652131,1.9991030478769938e-23,89699135.21557784,2538304.2712589693,1.2097022194452238,1.5053508949414237e-15,504683.9517795037,1.0902463580239824e-17,113150.2725708662,371838197043997.6,7.71095016303855e-15,123.86071567643972,165.51153997353828,1.8896231730646067e-27,1.479330723142857e-06,9.80897641484984e-10,1.4919449561879457e-06,2.819840605146594e-19,15.380692188564003,2.701244621479807e-24,7.86839353133834e-25,0.0683390821405447,2.486123129207556e-22,3.034418882460095e-07,0.0001404270599727,68350055157.86474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.14867136174092e+21
1213.7849827439848,16378.295433562918,11.990486236649916,8.974814340222146,14.257573472614435,13.272769687002404,8.192760780323871,6356.590695327739,1809354259.6365328,3.2053375893892027e-06,1191.0919603489106,0.0593656974138874,86262441.84151392,1328.6848512264269,7885535222559618.0,54161993876418.23,566115.9649174373,4354733.1819233475,1223118.4947921026,3629165.766852457,7770337143.765122,1625560449620.8716,3.0277141833046814e-25,2944266658.3698425,5.865749467567761,0.0005862777855605,22.479517324726256,2.389942167234836e+18,33355661045318.797,1623676221.3657496,3.36525376331539e+16,1.6339566428148774e+17,6195358.17119974,1.1645305614725798e+16,1.163654097869149e+20,0.0189408263083637,6.5179701851040135e-22,1439266009638494.2,0.046505605523613,4.5032633465407575e-19,1.306342798611546e-30,4516456046045.392,52698366.533116296,8436819526222149.0,9101247127.385414,5569687347315651.0,2.248610947591405e+21,5048351.400274469,13879860925350.572,5949577007835853.0,4.3434041495955676e-41,2.3765355749834383e+22,7.1384192107938975e+22,0.0393921461916202,2.989669196250166e-11,2.7471894589272676e-24,3.454379035260379e-24,4.726527847703778e-43,0.0153342321895914,6.449309197097772e-21,422500657.53295314,8453717401635.224,0.8740167917830701,1.5526850818646646e-08,8126.562592166877,3.6081001979920096e-21,2.3738395121339633e-43,3715600933.57532,2546.813502854904,2.8883630764166385e-15,7.821829955587777e-05,4.2327750913221434e-23,3.85738540093495e-46,303.89370496327285,11389192556661.932,7.30718971971569e-12,1.5642503697392547e-51,1.2538080261110251e-70,1.9575617504970863e-90,1.9315265776035377e-11,1.3385705704246953,0.0015886350911722,1.5498977442287717e-15,1.8790223697029818e-08,4.580927667965164e-42,7.020376588567929e-26,2692894423.2533593,1553.2955755099324,0.002992205999749,1.962754139259916e-09,2.1443185629181737e-14,9.071230622126741e-20,1.1372543356112252e-25,4.403779018385986e-28,2.9861868248848803e-09,7.277686886017456e-26,1.257292642202051e-07,2.584510795363756e-12,9.933213901300924e-33,285730184.15215254,6.995377011062517e-05,3883667.64033438,9.945611667426358e-32,3.815899354284691e-05,7.957550704566118e-41,4.666788952605227e-12,15.425893443214678,1.065741975582067e-34,6.128678295236725e-14,6.6849310411298855e-22,1.7237869830896184e-45,2.0521194831636415e-18,1.783520428836896e-27,7.422182856534133e-30,1.542476025539971e-35,3.841645928537896e-10,4.104335499430257e-48,1.4179676980010783e-46,7.919176512026574e-17,4.031636733009778e-49,6.348588006071285e-30,1.4469477703095977e-19,0.7869979276220428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66616091061874e+21
2244.1189945951196,79942.47132802168,11.97670805342974,13.170489960797942,15.986401198623938,14.56436547224022,14.962690338241543,570756521.1590079,8102827059355.129,224681178.44745123,19750080044280.707,14118040221.181671,6.135673409463319e+16,19984407337.217937,1.5085988397860568e+16,1452672979779041.5,25896044987.384735,832630605765.9515,339461128.71193975,118082055.65475547,9260405.37998959,18263.097588975303,3.9252356965944684e-16,1.5956091121371666e+16,168578486716.6708,532923529.4470351,147491634056.2007,1.5827385516842072e+21,2.80051120054098e+19,3812423274942401.0,3.620938461179256e+21,4.81584074051236e+22,4098354875111857.5,1.3966639533029582e+17,4933585964185638.0,3385.973583263478,9.339056154258616e-09,1070243.36919919,0.0003835220222282,4.622800258809142e-13,4.071914938956255e-26,1.5866070868306056e+18,2717939829814823.0,5.926548171401497e+18,1.0083554701109138e+17,1.4798830066815277e+20,1.0309243478406236e+20,56805743627411.484,1.210227627427518e+18,5.253636361717251e+19,4.4667493157021846e-33,1.997121267360488e+22,1.8432700486432283e+23,11634131.397293927,69.71451255854195,3.0441437790133275e-06,3.522732222615017e-06,5.55973315015534e-17,16095019.0146093,0.0013617283233031,153885854740007.7,392869883604.367,26625.348648785424,0.2063155610513767,5117146.524531239,3.8787713611571787e-07,3.6967533509114097e-19,183964582161.61655,411.0589995079462,1.731916167360075e-11,477560006.2948758,0.0223280063068478,1.915717706560866e-15,37222307068594.67,1.4204088126076168e+17,5593.108681168805,2.1553902924568897e-18,1.0761430861301844e-29,3.029589473703204e-40,7858.796939030495,3924838101630.5737,1081457242382.5162,1231.4345017098371,71857638.0607127,3.1988368318432744e-12,0.0042775294931408,6.553952192102003e+18,2.6331335655351896e+16,307439329115543.44,193053323944.63507,7577880791.4140415,284817654.94282293,972965.3636546836,0.6029358151582481,6846.889783323609,0.0055412666615628,62.7424798658096,48485.94156381905,0.0013278493083546,2832193120737.979,760547.7236333404,1587808714523.5598,1.0487342896931146e-06,222.6813922264119,3.2749486835262856e-11,0.0564484572055162,7675027.849420662,4.2299867969750697e-11,7.690888489410878e-06,3.7983267261290916e-08,6.158725223204069e-11,0.0241156023574624,0.1303785478682927,4.3668741091427544e-09,2.8035968374262477e-06,206.69000628735225,4.031556129764314e-13,2.4523677459882477e-11,0.3219103774762368,8.772741404563805e-13,2.8622121766850805e-08,148299.85211252098,2144557081.6701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.577704048046363e+21
1224.6854043108044,66583.185728969,12.01033623320153,13.056671168619795,16.708122739964438,15.277230453657388,18.020153876214756,2520.429010422502,37983461294.50742,5.1280940673258,0.0013395814563755,1207.052819140797,110618979705445.69,0.0232434867993332,1238153368853795.8,8951590639924.127,93013804235.91862,60300266.8647431,308.7579358337799,756119076.7704766,27492504.817787133,81831286914.09645,2.4116508945700277e-14,34649396.88814098,70046.0393233569,0.1062677696079774,3700.000863147253,1.665076758771394e+18,2.296051706244428e+19,1138848388692408.0,2.5911769700655908e+16,1.1036118385066864e+23,4.658436462550404e-06,110332.691473689,15374509025.050829,2.841586912598957,1.0294978335749917e-07,48807219.76302536,0.0018558875647716,1.9026700429878577e-08,1.904791152285597e-23,35770.388449077225,395799.31815342425,722897344976.8271,5431.121748362409,0.0024546381571004,13671.582406534577,318.7197047571051,4605721.591561203,1.816296567158406e-09,2.759150765818626e-34,901176.8038175212,1.3217248638473193e-08,12545.47235771782,9.752358744904436,9.92144134896744e-07,1.245556286550064e-06,2.0987682213907757e-19,352832.4097231207,1.8496093626293164e-07,8340359394882542.0,2534636596779671.0,4152572.346623057,1012.4137623251391,2525084377905.335,1.5908168950772166e-06,1.0477281507106283e-10,1.0995391111457268e+18,170228168091.8401,0.0513410142226077,1459361.238832709,9.68309584073695e-07,1.1826264721182829e-23,5263602865139.801,2.0464019572796089e+21,1825.675229397548,6.530307843914249e-25,6.359330248141024e-38,1.290652889986882e-51,67.61599125580813,1737221005814.5444,1975105788495301.2,0.0025597224600383,24111618136.93923,1.1088253179610568e-23,0.1067712256225568,3.05013436426132e+21,1.7988644343907628e+21,3.529850120341804e+21,2.2762607653673244e+21,2.5075707241782867e+22,1.0879098096411948e+23,1.368274682896738e+23,3.3009974557982225e-33,1.1796188650013646e-15,8.04401541138614e-30,7.545455910742611e-13,1.8291717269055932e-10,9.942851436706257e-34,950460.678740818,18.47179466080742,8.083074236554729e-07,1.697666042679066e-29,0.0002939131942756,1.4374451083788864e-32,3.5949455378179424e-05,98099755.10753624,3.04109715162115e-31,8.922344422638768e-12,1.8897584901925433e-11,3.088875827040106e-40,1.6426319174520092e-14,1.8691611188045958e-16,5.4311080247580965e-14,2.668101847777684e-26,0.0309782576641714,7.87688280546274e-33,1.84631282201104e-39,4.3763332659414074e-11,4.7510584425318634e-36,3.9570923767162786e-18,1.1435837762038204e-12,330739.61248865037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.575642579295108e+21
1457.609235118475,46066.3024999065,12.012012338473134,15.634362018934045,19.13188766050992,13.857958941882844,15.038273465862876,131625.53380754407,2536250.005502085,4.193017616025139,7664836.144636259,7.276088105651972,224847568628.9511,42.92390968053751,6673071493.764619,120128223.17800328,216.5792832613672,333561.7149697904,0.0483535700719271,0.7496344422141236,0.0002181651344491,4.2960372616206776e-08,1.688719578746698e-36,8811458714.119177,4489.279843789503,0.0011814462971837,7.429233863643219,3.6300220165754146e+20,1.0021655873410008e+17,54342657650235.97,4.2732815842088223e+18,4.387688005655317e+19,14692871683.481886,2656406731615.0283,17257678172.19104,1.165034255245834e-06,3.931825187872493e-21,1.6326849462973117e-05,2.1831732894706092e-18,2.386793671991907e-30,7.076722926905677e-52,5724165331508.796,4750675929.487926,9386061959648.684,54433230741879.195,4.051369145511114e+17,8.671887682788726e+16,2527762.5326246526,1.8718105107984672e+17,3.192720897662857e+17,7.661186538785547e-59,3.041179328718949e+18,2.2849164132090153e+23,2.7528582751352536e-05,6.312433452984063e-12,7.6282407338041265e-22,9.309077260387429e-22,1.2387893283463942e-36,0.0229715900411704,1.1695971512292068e-16,4536495.999009017,11896.17273154063,1.3959313455527627e-09,1.9067645415229072e-18,0.0042758352883611,2.6448374724869717e-22,1.6513875532260086e-38,100.114103994561,3.102270539016974e-12,8.551670171892731e-35,0.364932513120625,1.7580701713517877e-15,7.669285075850167e-34,44717.35920222122,27068097407.265102,1.656890146448593e-09,2.0566115794012983e-40,1.2524141299320386e-55,5.246045040239209e-71,2.5734468514494796e-12,839025.4429237931,10925.673687080973,7.066975652315971e-07,1.8378306913918665,5.332645182584099e-28,3.2501716261476505e-14,16673301079233.902,360005099.7432696,24353.633849275902,0.2875260658478764,9.114287250305243e-05,1.5412350441917833e-08,5.08931565393022e-13,1.1965705235107784e-17,3.987194616909865e-05,3.6276311170818515e-21,5.3190249150794505e-09,5.723491767787394e-09,1.2315762552635757e-23,29869259.8241143,17.7935030206833,216552572.32345217,2.4705766463981452e-26,2.519148389099541e-07,1.0938948803459887e-32,5.884626789161503e-12,0.066873412727424,5.154883967592995e-34,7.934543494754446e-20,6.413246395505469e-28,1.70120746850903e-34,4.452832364979329e-15,1.4090184821820093e-18,1.1036888453989337e-22,1.554293774906284e-28,1.8987543159620508e-10,5.677805042041011e-38,3.344800438293671e-32,1.5698809191420162e-10,2.7925638809493967e-33,2.321982882817931e-20,3.6530885882307454e-10,1156.456336505653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.388607196064938e+21
1291.9472014767514,97139.89846019984,12.03562690374799,11.2941099057157,15.35984560939917,13.031919880655552,15.91665504140459,19704.783269904347,1354810785402.9348,19.63603392337368,0.1831961050885768,9617.555584799264,350199750354277.94,19.941367953245823,7.400061144327843e+16,720168087697836.2,1818000063974.584,3352647718.932503,1075514.7284965687,217591331813.2159,328535464837.9832,3659334175680471.0,9.769834681171676e-10,802780021.1379703,444457.3679997583,3.927728916216249,78226.67349342482,3.56210582639323e+18,3.4367410930422563e+19,637375686513780.6,2.9513345449317466e+17,4.4126819557046055e+23,0.0042756771261185,187425403.3583443,87069456554519.19,2130.7396800899446,6.577861806114102e-06,15320524449544.615,376.6437118273067,0.0003413183920772,4.185643542075397e-16,5788176.745208263,11838257.248123951,24064988419958.25,328421.39870986925,7.039705615963387,122834074.7714351,31518.676570404485,161702545.7778366,4.3064773643623895e-05,1.49479306053202e-26,1278292588.5327177,0.0011969085855592,652725.9465297319,146.5651019692762,6.768206671008478e-06,8.418792821634139e-06,1.1935671585632952e-18,5378356.961037607,2.541673274206259e-06,1.5593139189835386e+17,3.456232946395283e+17,1063729794.1423095,211910.78591138427,106367198732736.28,0.0001281942180334,4.032757271236721e-10,1.0412162226215567e+20,152871528311085.62,846.1867550822143,1774746.2187699275,9.653702881589098e-07,1.6206269599654024e-23,12401825149086.527,1.0369763095665832e+21,1574.0380559859336,6.9850228495854235e-25,5.295612088122652e-38,1.237120252938656e-51,213.60982101474457,1481526611263.407,984402099740356.0,0.0029612584807115,4842004159.395872,2.9593993210556504e-23,0.0144484108150395,3.5228794981540933e+21,1.7719287807343217e+21,2.9038392923268674e+21,1.2727216462470198e+21,1.103965640217395e+22,4.161158665035011e+22,4.0003032331394585e+22,1.6190794396794364e-29,6.2303367081957e-13,1.815526755631148e-25,2.177040812175267e-09,7.832962735294118e-08,3.3978601291119244e-30,24135942.56194237,59.65941525998299,0.0007199526819649,6.877470096650596e-26,0.05214017184548,2.0307634211902084e-29,0.0016024821733741,4286144490.25776,1.1738817447344675e-26,3.0741256273031614e-08,8.402185983022326e-08,4.4586727308191245e-37,9.793238759205724e-13,3.023984251471286e-15,1.2159049007959984e-13,4.0876874339757395e-24,0.2510652745478472,5.547921024610606e-31,8.073151997284398e-37,5.8745119471822e-10,2.9268961827888353e-34,2.682218875819967e-17,8.247392653635401e-11,2705788.077894978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.306018989003662e+21
