species,mean_abundance,scale,nonzero_fraction
species_331,8.429980780144773e+19,linear,1.0
species_13,6.021432820914555e+19,linear,1.0
species_383,5.160295254187235e+18,linear,1.0
species_337,3.226374952860525e+18,linear,1.0
species_15,2.1972750396519212e+18,linear,1.0
species_19,1.945711117720439e+18,linear,1.0
species_122,1.5131760718199158e+18,linear,1.0
species_366,1.464826113593344e+18,linear,1.0
species_104,1.3752574964755215e+18,linear,1.0
species_10,1.1130306153611118e+18,linear,0.9998254189944135
species_94,9.23189107464448e+17,linear,1.0
species_102,8.509224875706579e+17,linear,1.0
species_141,7.02162718683893e+17,linear,1.0
species_150,6.670522232613537e+17,linear,1.0
species_12,6.071291808188695e+17,linear,1.0
species_343,3.9118368495429984e+17,linear,1.0
species_407,3.308904628735678e+17,linear,1.0
species_146,2.5055319134694144e+17,linear,1.0
species_347,2.3564950841727357e+17,linear,1.0
species_354,2.2533817537645923e+17,linear,1.0
