species,MAE_dex,R2_log
e-,0.022699067,0.9992709755897522
H,0.0758802,0.9837775826454163
O,0.032186907,0.997613251209259
C,0.021211745,0.9995139241218567
N,0.09253148,0.924934983253479
S,0.08784559,0.9757299423217773
C1H1,0.03125729,0.9803831577301025
C1H1N1_1,0.07243211,0.9935668706893921
C1H1N1_2,0.071797356,0.9852433204650879
C1H1N1O1,0.13456893,0.5885233879089355
C1H1O1,0.10040112,0.7304266095161438
C1H2,0.09550201,0.8097755908966064
C1H2O1,0.10670277,0.7188733816146851
C1H3,0.10242905,0.8860493302345276
C1H4,0.105103135,0.9405086040496826
C1H4O2,0.08064382,-0.008706331253051758
C1N1,0.06960913,0.9785213470458984
C1N1O1,0.10626495,0.28810352087020874
C1N2_cnn,0.07509902,0.37203526496887207
C1N2_ncn,0.07647509,0.7219265699386597
C1O1,0.0899751,0.9784309267997742
C1O1S1,0.11257279,0.9581810235977173
C1O2,0.121877335,0.9628649950027466
C1S1,0.07063334,0.9951078295707703
C1S2,0.110234536,0.9797195196151733
C2,0.02137711,0.9987806081771851
C2H1,0.07049987,0.9832962155342102
C2H2,0.07563649,0.9873064160346985
C2H2O2,0.096418805,0.26460349559783936
C2H2O4,0.15088566,-0.01610541343688965
C2H4,0.097606674,0.9313958287239075
C2H4O1,0.09486376,0.2718299627304077
C2H4O3,0.12562414,-0.013621807098388672
C2H6O2,0.09933874,-0.010297894477844238
C2N1,0.06692659,0.9796801209449768
C2N1O1,0.098817445,0.6352648735046387
C2N2,0.06857473,0.9834945201873779
C2O1,0.0830635,0.8543664216995239
C3,0.04334883,0.9971097707748413
C3H1,0.05720546,0.995441734790802
C3N2O1,0.100065425,0.4608343243598938
C3O2,0.11141442,0.7753638625144958
C4,0.050386034,0.9920978546142578
C4H6O4,0.105022326,-0.010533332824707031
C4N2,0.058259647,0.9939592480659485
C5,0.06201706,0.9938263893127441
H1N1,0.08746533,0.7411824464797974
H1N1O1,0.09743577,0.5628536939620972
H1N1O2cis,0.112281844,0.49494338035583496
H1N1O2trans,0.11302348,0.501577615737915
H1N1O3,0.20532039,-0.032469868659973145
H1O1,0.08593912,0.9605045914649963
H1O2,0.03877119,0.9603826999664307
H1S1,0.11859895,0.9519611597061157
H2,0.115581475,0.9741262793540955
H2N1,0.09526252,0.7291773557662964
H2N2,0.08748199,0.23615223169326782
H2O1,0.139844,0.958046555519104
H2O2,0.06425525,0.7747849822044373
H2O4S1,0.110232696,0.6984202265739441
H2S1,0.13248663,0.961797833442688
H3N1,0.11531695,0.8919342160224915
H4N2,0.09597863,0.17638278007507324
N1O1,0.12873328,0.9123263359069824
N1O2,0.11290364,0.7535027265548706
N1O3,0.15022138,-0.02823173999786377
N1S1,0.12628333,0.8629001975059509
N2,0.11522476,0.9844973087310791
N2O1,0.1210355,0.5695117712020874
N2O3,0.15182504,-0.019749164581298828
N2O4,0.10422182,-0.013188600540161133
N2O5,0.074825555,-0.009553670883178711
N3,0.10898681,0.13056379556655884
O1S1,0.12198063,0.9559134840965271
O1S2,0.12558547,0.9388986825942993
O2,0.07163501,0.976014256477356
O2S1,0.12085469,0.9669171571731567
O3,0.016117083,0.9751588702201843
O3S1,0.09021191,0.9295228123664856
S2,0.115156576,0.9790428280830383
S3,0.12252064,0.960537850856781
S4,0.12227051,0.9510229825973511
S5,0.113211215,0.9399336576461792
S6,0.11276593,0.9434859752655029
S7,0.114258245,0.9442363977432251
S8,0.11599556,0.9393896460533142
C1+,0.44623724,-0.11885929107666016
C1-,0.0027581193,-0.011390447616577148
C1H1+,0.021381637,0.6152487993240356
C1H1-,5.004294e-05,-0.00074005126953125
C1H1O1+,0.063032344,0.22718560695648193
C1N1+,0.0120958965,-0.014158368110656738
C1N1-,0.07798059,0.3697547912597656
C1O2-,0.027359378,0.2902345061302185
C2-,0.009168494,0.9914843440055847
H1+,0.0032206364,0.9974119663238525
H1-,0.0016848596,0.9874693155288696
H1O1+,0.002372076,-0.004196524620056152
H1O1-,0.0046744323,0.952686607837677
H1S1-,0.02282713,0.7801581025123596
H2+,0.00011604801,-0.0015804767608642578
H2-,0.00012752488,-0.00038492679595947266
H3O1+,0.08410778,0.27049875259399414
N1+,0.020656038,-0.008405327796936035
N1-,3.7763453e-05,-0.0008788108825683594
N1O1+,0.058469705,0.7872270345687866
N1O2-,0.030720115,-0.01175546646118164
N2+,0.057735484,-0.007699728012084961
N2-,0.075749986,-0.007683396339416504
N2O1+,0.042681932,-0.005251884460449219
O1+,0.030470317,-0.012950897216796875
O1-,0.0651786,-0.04754805564880371
O2+,0.06684255,-0.041458725929260254
O2-,0.03729368,-0.023299813270568848
S1+,0.022800943,0.9974847435951233
S1-,0.010586751,0.9881499409675598
