species,MAE_dex,R2_log
e-,0.015075974,0.999581515789032
H,0.02645292,0.9997610449790955
O,0.021086905,0.9996035695075989
C,0.016955916,0.9990335702896118
N,0.0133073,0.9998975396156311
S,0.030139133,0.9996041059494019
C1H1,0.003568902,0.9991586208343506
C1H1N1_1,0.031029735,0.9975278377532959
C1H1N1_2,0.021036204,0.997746467590332
C1H1N1O1,0.003620151,0.9953082203865051
C1H1O1,0.0027259323,0.9986500144004822
C1H2,0.003497139,0.9990003108978271
C1H2O1,0.0032943108,0.9988028407096863
C1H3,0.008941562,0.9991528987884521
C1H4,0.02197014,0.998480498790741
C1H4O2,5.220994e-07,-6.449222564697266e-05
C1N1,0.021908343,0.9985940456390381
C1N1O1,0.0007458737,0.9986447095870972
C1N2_cnn,0.0014102852,0.9974846839904785
C1N2_ncn,0.0037747503,0.9979585409164429
C1O1,0.044178523,0.9984210729598999
C1O1S1,0.022818724,0.9976279139518738
C1O2,0.032428294,0.9987199306488037
C1S1,0.03402584,0.9989113807678223
C1S2,0.034082882,0.9987648129463196
C2,0.00843297,0.9990009069442749
C2H1,0.01442222,0.998532235622406
C2H2,0.023498615,0.9973831176757812
C2H2O2,1.6600825e-05,0.6761079430580139
C2H2O4,3.1592324e-06,-0.000194549560546875
C2H4,0.012217912,0.9958827495574951
C2H4O1,2.065543e-05,0.8079594373703003
C2H4O3,1.9650906e-07,0.0
C2H6O2,0.0,1.0
C2N1,0.01271944,0.9988366365432739
C2N1O1,0.001434703,0.9955984950065613
C2N2,0.021427903,0.9973697662353516
C2O1,0.0023337316,0.998039960861206
C3,0.0122352615,0.9993343353271484
C3H1,0.016619619,0.9990652799606323
C3N2O1,0.00051601994,0.9948775768280029
C3O2,0.0024976986,0.9985867738723755
C4,0.0072657005,0.9994351267814636
C4H6O4,0.0,1.0
C4N2,0.01775596,0.9987271428108215
C5,0.0073884316,0.9996926784515381
H1N1,0.0063926154,0.9994010925292969
H1N1O1,0.0024063636,0.999040961265564
H1N1O2cis,0.0043664537,0.9965420365333557
H1N1O2trans,0.004473555,0.996453046798706
H1N1O3,0.12548271,-0.04284048080444336
H1O1,0.018423755,0.9992088675498962
H1O2,0.006237839,0.999367892742157
H1S1,0.028604995,0.9987226724624634
H2,0.035523128,0.9992746710777283
H2N1,0.0057188077,0.9995328187942505
H2N2,0.0013593293,0.9990878701210022
H2O1,0.03508004,0.9992179870605469
H2O2,0.0033508223,0.9992901086807251
H2O4S1,0.006330976,0.9954214096069336
H2S1,0.030378107,0.9981115460395813
H3N1,0.01647339,0.9992773532867432
H4N2,0.001136743,0.9980566501617432
N1O1,0.021868397,0.998937726020813
N1O2,0.0101188915,0.9985634684562683
N1O3,0.13454974,-0.04913163185119629
N1S1,0.0146519635,0.9991584420204163
N2,0.037655838,0.9994914531707764
N2O1,0.0070289494,0.9984153509140015
N2O3,0.03797217,-0.016538143157958984
N2O4,0.017121565,-0.009470462799072266
N2O5,0.0090424325,-0.005731701850891113
N3,0.0025951907,0.9990997314453125
O1S1,0.029202089,0.9979721903800964
O1S2,0.014828938,0.9967471957206726
O2,0.019298783,0.9990605711936951
O2S1,0.02611494,0.9989438056945801
O3,0.004343532,0.9997912645339966
O3S1,0.013850303,0.9991330504417419
S2,0.038191684,0.9984762668609619
S3,0.017502915,0.9983330368995667
S4,0.0076886145,0.9985663294792175
S5,0.005384744,0.9971154928207397
S6,0.0046405243,0.9958381056785583
S7,0.0039031752,0.9941219091415405
S8,0.0029167354,0.9953377842903137
C1+,0.25357443,-0.05414736270904541
C1-,0.0003465807,-0.0037537813186645508
C1H1+,0.0018618561,0.03533303737640381
C1H1-,2.7380883e-08,0.0
C1H1O1+,0.00043480675,0.9504536390304565
C1N1+,0.0006921308,-0.004962563514709473
C1N1-,0.0013732582,0.9914252758026123
C1O2-,0.0003921725,0.9344630241394043
C2-,0.00034926756,0.9984843730926514
H1+,0.004153537,0.9983041286468506
H1-,0.0003666751,0.9920580387115479
H1O1+,5.494654e-05,-0.002907276153564453
H1O1-,0.0005890118,0.9738482236862183
H1S1-,0.00070565415,0.988180935382843
H2+,2.955217e-05,-0.0024706125259399414
H2-,0.00025902706,-0.0012015104293823242
H3O1+,0.0013783667,0.9929191470146179
N1+,0.008013004,-0.0085296630859375
N1-,3.406778e-07,0.0
N1O1+,0.0073836,0.9989706873893738
N1O2-,0.009038633,-0.006553053855895996
N2+,0.0043343594,-0.005698442459106445
N2-,0.0012108625,-0.001350998878479004
N2O1+,1.6391278e-08,0.0
O1+,0.10633989,-0.0335237979888916
O1-,0.013682617,-0.01802539825439453
O2+,0.079092704,-0.04722130298614502
O2-,0.031154867,-0.019431233406066895
S1+,0.011818057,0.9996506571769714
S1-,0.0014729069,0.9992724657058716
