species,MAE_dex,R2_log
e-,0.020193184,0.9994358420372009
H,0.030741958,0.9996289610862732
O,0.024445683,0.999434232711792
C,0.020050652,0.999099612236023
N,0.018246554,0.9998233914375305
S,0.034675166,0.9993788599967957
C1H1,0.008591075,0.9988380074501038
C1H1N1_1,0.04042016,0.9975144863128662
C1H1N1_2,0.031421952,0.9972162246704102
C1H1N1O1,0.0077855275,0.9905259609222412
C1H1O1,0.0071043437,0.9982454776763916
C1H2,0.0079707755,0.9982280731201172
C1H2O1,0.009532983,0.993740975856781
C1H3,0.01694297,0.9970519542694092
C1H4,0.028903747,0.9964415431022644
C1H4O2,0.00015875163,-0.00027811527252197266
C1N1,0.025123687,0.9989539980888367
C1N1O1,0.001952062,0.9982011318206787
C1N2_cnn,0.0017915516,0.9978927373886108
C1N2_ncn,0.004767542,0.9983823895454407
C1O1,0.04851746,0.9975706338882446
C1O1S1,0.03505098,0.9969920516014099
C1O2,0.03891093,0.9985557794570923
C1S1,0.040928457,0.9988420009613037
C1S2,0.043030135,0.9985958337783813
C2,0.01483223,0.9989549517631531
C2H1,0.024345879,0.9984102845191956
C2H2,0.03613622,0.9971736669540405
C2H2O2,0.0009372306,0.9872021079063416
C2H2O4,0.002906135,-0.0013396739959716797
C2H4,0.024019588,0.994157075881958
C2H4O1,0.0008468077,0.9758868217468262
C2H4O3,0.002668276,-0.001299142837524414
C2H6O2,1.0343889e-07,-1.3113021850585938e-06
C2N1,0.019286545,0.9988906383514404
C2N1O1,0.00359175,0.9982344508171082
C2N2,0.02795401,0.9975274801254272
C2O1,0.008668089,0.9979321360588074
C3,0.024582772,0.9985537528991699
C3H1,0.03073371,0.9975942969322205
C3N2O1,0.0023516554,0.9912835955619812
C3O2,0.009409877,0.9961435794830322
C4,0.02039061,0.9980744123458862
C4H6O4,6.2088175e-11,0.0
C4N2,0.026702393,0.9980081915855408
C5,0.031888742,0.9969379305839539
H1N1,0.008470635,0.9994959235191345
H1N1O1,0.0043107555,0.9994657635688782
H1N1O2cis,0.005048037,0.9989646077156067
H1N1O2trans,0.005218212,0.9989400506019592
H1N1O3,0.20966808,-0.05203723907470703
H1O1,0.022124628,0.9993193745613098
H1O2,0.010099606,0.9990867972373962
H1S1,0.03717854,0.9982934594154358
H2,0.0490675,0.9983783960342407
H2N1,0.0075215846,0.9992595314979553
H2N2,0.0015504844,0.9992738962173462
H2O1,0.03897998,0.9989092350006104
H2O2,0.00613561,0.9992114901542664
H2O4S1,0.010515691,0.9969094395637512
H2S1,0.042845942,0.9968856573104858
H3N1,0.021569273,0.99736487865448
H4N2,0.0018709861,0.9984331727027893
N1O1,0.024281574,0.9989968538284302
N1O2,0.01109908,0.9983776211738586
N1O3,0.1975428,-0.05692124366760254
N1S1,0.018918097,0.9991887211799622
N2,0.068061225,0.9960487484931946
N2O1,0.006981971,0.9993117451667786
N2O3,0.09610834,-0.02708911895751953
N2O4,0.053050794,-0.01769852638244629
N2O5,0.031911004,-0.011700272560119629
N3,0.0020691208,0.998605489730835
O1S1,0.032701448,0.9986588954925537
O1S2,0.023689313,0.997256875038147
O2,0.025959857,0.9985949993133545
O2S1,0.031648643,0.9991807341575623
O3,0.0068359333,0.9991552829742432
O3S1,0.01822542,0.9987591505050659
S2,0.048142776,0.9981458187103271
S3,0.028562408,0.9981104135513306
S4,0.019137092,0.9979652166366577
S5,0.0114361495,0.9974209070205688
S6,0.009783348,0.9970896244049072
S7,0.008728382,0.9967136979103088
S8,0.007535185,0.9962760210037231
C1+,0.37956807,-0.09228098392486572
C1-,0.0010088847,-0.005550265312194824
C1H1+,0.008430053,0.4465978145599365
C1H1-,2.3914502e-06,-0.000736236572265625
C1H1O1+,0.002293926,0.9802664518356323
C1N1+,0.004552285,-0.008695125579833984
C1N1-,0.0036697437,0.993775486946106
C1O2-,0.0018102204,0.9899510145187378
C2-,0.0031632478,0.9985162615776062
H1+,0.004167328,0.9974887371063232
H1-,0.0009469478,0.9930625557899475
H1O1+,0.0012204864,-0.002460956573486328
H1O1-,0.0015214547,0.9957017302513123
H1S1-,0.002582685,0.9957160353660583
H2+,0.00027738538,-0.00263059139251709
H2-,0.0005084204,-0.0009851455688476562
H3O1+,0.0040943706,0.9960726499557495
N1+,0.022207735,-0.010465264320373535
N1-,9.739772e-07,3.159046173095703e-06
N1O1+,0.010139826,0.9983329176902771
N1O2-,0.03054719,-0.015543818473815918
N2+,0.010663555,-0.007737398147583008
N2-,0.0013458481,0.01761305332183838
N2O1+,3.2310683e-07,-8.821487426757812e-06
O1+,0.07088239,-0.029665827751159668
O1-,0.045600705,-0.03658092021942139
O2+,0.08298877,-0.04897499084472656
O2-,0.04881706,-0.028609275817871094
S1+,0.015145616,0.9995517134666443
S1-,0.0039827386,0.9990987777709961
