species,MAE,R2,max_abun
N1-,7.039667e-18,3.039836883544922e-06,1.5836514e-13
C1H1-,1.8900974e-17,-0.00012195110321044922,1.6852131e-13
H1-,1.3178755e-14,0.9307363629341125,1.7484449e-10
e-,2.2443967e-07,0.9768457412719727,0.001911191
H2-,2.4749681e-06,-0.00011110305786132812,0.027027028
C1-,3.114618e-06,-0.00017464160919189453,0.017857144
S1-,3.114619e-06,-0.00017464160919189453,0.017857144
O1-,3.1146456e-06,-0.00017464160919189453,0.017857144
H1S1-,3.4105935e-06,-0.00023233890533447266,0.0156126395
H1O1-,6.504194e-06,-0.00030219554901123047,0.035762686
N1O2-,9.315199e-06,-0.0004898309707641602,0.025317213
O2-,9.618813e-06,-0.0004729032516479492,0.035762686
C2-,2.0390004e-05,-0.0008454322814941406,0.03448276
H1N1,2.6809163e-05,-0.0016813278198242188,0.020773293
C1H1,2.8384731e-05,-0.0014336109161376953,0.026315749
H1S1,4.6230543e-05,0.9648061990737915,0.08861939
N2-,5.405623e-05,-0.0010461807250976562,0.11493865
C1N1-,5.4852484e-05,-0.0029333829879760742,0.03448276
C1O2-,6.907994e-05,-0.0029283761978149414,0.094637856
H2N1,0.00011625649,0.4414028525352478,0.042688202
H1O2,0.00012539398,0.006367146968841553,0.035762686
O3,0.0001468621,0.3592052459716797,0.19143294
N1S1,0.00014715943,-0.007306575775146484,0.03889764
C1H2,0.00015955648,-0.10215365886688232,0.042688202
S5,0.00016352056,0.6896332502365112,0.09869992
O1S2,0.0001737693,0.6998875141143799,0.1412298
C1H3,0.0001749349,0.2679651975631714,0.179235
N1O3,0.00017998679,0.49564290046691895,0.094637856
H2O2,0.00018189664,0.037468910217285156,0.075852334
C1H4O2,0.0001877063,-0.021990537643432617,0.042688202
S4,0.0001921188,0.9616026282310486,0.19471717
C2H6O2,0.00019767071,0.08701527118682861,0.042688202
H4N2,0.00019929161,-0.5216562747955322,0.042688202
H1N1O1,0.00020017252,-7.9907941818237305,0.029411735
H1O1,0.00021433044,-1.6043291091918945,0.14662592
N3,0.00022983491,-0.12388944625854492,0.11493865
S3,0.0002432618,0.9539674520492554,0.1845068
H1N1O2trans,0.00025282858,0.053742170333862305,0.1248739
C2H4O1,0.00025522124,0.1627921462059021,0.042688202
N,0.00025891425,0.9358621835708618,0.48316705
N2O5,0.0002676662,-0.06150662899017334,0.09655244
H1N1O3,0.00028777146,0.2052466869354248,0.18663168
C1H1O1,0.00029109477,0.34985828399658203,0.037037037
H1N1O2cis,0.00029689065,-0.1255488395690918,0.1248739
O1S1,0.000308216,0.9868286848068237,0.44184256
C4H6O4,0.00030965073,0.35454779863357544,0.042688202
N2O4,0.00032125897,-0.13567078113555908,0.11045116
C1N2_cnn,0.00032744385,-0.013163208961486816,0.11493865
C1H2O1,0.0003323645,-0.31190645694732666,0.042688202
N1O2,0.00035404117,0.07867610454559326,0.11030255
N2O3,0.00035567163,-0.7842600345611572,0.0959067
C2H4O3,0.00036244505,-0.0767827033996582,0.05642647
C1H1N1_2,0.00038141813,0.27435970306396484,0.044724092
H2N2,0.00039199478,-5.385021209716797,0.0384615
N1O1,0.0004021576,0.02127861976623535,0.08612511
C2,0.00040601825,0.5392640829086304,0.09036042
C2H2O2,0.00041089975,0.23657554388046265,0.042688202
N2O1,0.00041134047,0.023321092128753662,0.20838246
C1N1O1,0.00041882182,0.105587899684906,0.05882353
S7,0.00042297697,0.9884301424026489,0.4325627
C4,0.00044694688,0.15961343050003052,0.09036042
C2H1,0.00045517448,0.6127800941467285,0.17893104
C1H1N1_1,0.00046613626,0.7422792315483093,0.19420685
O1+,0.00046995236,0.748633086681366,0.06666667
C1N1,0.00047201422,0.5775665044784546,0.10413719
C1H1N1O1,0.00048069356,0.10667610168457031,0.058823496
H2+,0.00048364757,0.7480971813201904,0.06666667
N1+,0.00048512308,0.732081949710846,0.06666667
C1N2_ncn,0.00049313094,-2.2574477195739746,0.11493865
