species,MAE,R2,max_abun
N1-,1.9802881e-17,-0.00020599365234375,1.4602914e-13
C1H1-,2.8340604e-17,-0.0001691579818725586,3.3313315e-13
H2+,5.095698e-16,-0.0016263723373413086,8.832553e-13
H2-,1.8480285e-15,-0.0003781318664550781,1.0122105e-11
C1-,3.7097896e-15,-0.00426483154296875,2.5102776e-12
H1O1+,6.8304817e-15,-0.0008454322814941406,1.7012346e-11
H1-,1.203559e-14,0.952644944190979,1.8470987e-10
C1N1+,1.01722037e-13,-0.00013017654418945312,1.3677525e-09
C1H1+,2.1323495e-13,0.15598618984222412,2.3681465e-10
H1O1-,3.3606188e-13,0.8580062389373779,2.7096203e-09
O1-,1.5034432e-12,-0.004441738128662109,1.3980007e-09
C2-,2.208761e-12,0.9932699203491211,1.4303707e-08
S1-,2.6752708e-12,0.9942370653152466,1.5868121e-08
O2-,3.4728264e-12,-0.004754543304443359,2.1880513e-09
O2+,9.354193e-12,-0.004195570945739746,1.0016834e-08
N1+,2.4139026e-11,-0.0002105236053466797,2.0967303e-07
H1+,1.2387123e-10,0.89717036485672,2.2156078e-06
O1+,5.177629e-10,-0.001015305519104004,1.0834536e-06
N1O2-,5.276515e-10,-4.2319297790527344e-05,1.297526e-05
H1S1-,5.8810945e-10,-6.210803985595703e-05,1.1415851e-05
C1H1,1.3139259e-08,0.9246894717216492,0.00010467706
O3,2.3353355e-08,0.9908561110496521,0.00024383405
S1+,1.6773828e-07,0.9930939674377441,0.002108844
e-,2.6868094e-07,0.9664310216903687,0.002108844
C1+,3.18577e-07,-0.002844691276550293,0.0002936779
H1O2,3.8003367e-07,0.7930920124053955,0.0047160685
N1O1+,7.14655e-07,-7.390975952148438e-05,0.012956775
C1O2-,7.8448176e-07,-7.545948028564453e-05,0.012799425
C1H1O1+,1.8622363e-06,-0.00022482872009277344,0.01262428
N2O1+,3.812864e-06,-0.00032258033752441406,0.014744009
N2+,6.6889856e-06,-0.0004552602767944336,0.01879536
H2O2,7.0649326e-06,0.0013576745986938477,0.017272642
C1N1-,1.1155889e-05,-0.0009245872497558594,0.017272642
N1O3,1.183761e-05,-0.000446319580078125,0.032165635
C4,1.4172618e-05,0.8081344962120056,0.025018608
H3O1+,1.7217131e-05,-0.0012502670288085938,0.01879536
C1H4O2,1.7752649e-05,-0.0012624263763427734,0.01879536
N2-,1.8181776e-05,-0.0012911558151245117,0.01879536
N2O5,2.032431e-05,-0.0006831884384155273,0.04283859
C1H2,2.1064807e-05,-0.0015017986297607422,0.021714943
C1N2_cnn,2.2238883e-05,-0.0015063285827636719,0.01879536
C1N2_ncn,2.2238883e-05,-0.0014709234237670898,0.01879536
H1N1,2.2239225e-05,-0.0015075206756591797,0.01879536
H1N1O1,2.2241227e-05,-0.0015079975128173828,0.01879536
H2N1,2.224901e-05,-0.001487135887145996,0.01879536
H2N2,2.22521e-05,-0.0015085935592651367,0.01879536
H1N1O3,2.242175e-05,-0.001011490821838379,0.032165635
C2O1,2.3614099e-05,-0.0010485649108886719,0.025018608
C2H6O2,2.5488138e-05,-0.0015802383422851562,0.024627365
H4N2,2.6628459e-05,-0.001576542854309082,0.030393535
C1N1O1,2.7553131e-05,-0.0016750097274780273,0.028730344
C2,2.7716243e-05,0.997561514377594,0.09192757
N1S1,2.9220977e-05,-0.001631617546081543,0.032151762
C1H1O1,2.9881558e-05,-0.0016671419143676758,0.025018608
H1O1,3.108741e-05,0.9927573800086975,0.14597785
N2O4,3.1407133e-05,-0.0010830163955688477,0.04283859
H1N1O2cis,3.2293832e-05,-0.001564621925354004,0.03534607
C2N1O1,3.2592532e-05,-0.001149892807006836,0.027025718
H1N1O2trans,3.3037963e-05,-0.001554250717163086,0.03534607
N3,3.405848e-05,-0.0017056465148925781,0.039026745
C4H6O4,3.4849552e-05,-0.0017628669738769531,0.03465691
N2O3,3.5645866e-05,-0.0012999773025512695,0.04283859
N1O2,3.6105128e-05,0.052966296672821045,0.04283859
C2N1,3.6618392e-05,0.8912872672080994,0.060342755
C2H2O2,3.835541e-05,-0.07072019577026367,0.037948135
C2H4O3,3.8491053e-05,-0.0018936395645141602,0.037948135
C1H1N1_2,3.8668873e-05,0.3662710189819336,0.045318875
C1H3,3.8866747e-05,0.09174144268035889,0.045318875
C1H2O1,3.9968927e-05,-0.00014984607696533203,0.04226744
C2H4O1,4.015737e-05,-0.5767385959625244,0.037948135
C3N2O1,4.1887677e-05,-1.1648480892181396,0.0336822
N2O1,4.5110195e-05,-0.0017701387405395508,0.04283859
H1S1,4.8129867e-05,0.9694320559501648,0.08949275
C1N1,5.0995837e-05,0.9755582213401794,0.10401849
C1H1N1O1,5.380492e-05,-0.0008993148803710938,0.04226744
C2H2O4,5.5834396e-05,-0.0022077560424804688,0.041583642
N1O1,5.9478134e-05,0.8586329817771912,0.056253158
C2H1,6.414939e-05,0.9805226922035217,0.17600985
S5,8.009401e-05,0.7440149188041687,0.045318875
O1S2,8.3833074e-05,0.9499121308326721,0.15252776
H2O4S1,8.92803e-05,-0.12876355648040771,0.28863162
C3O2,9.736673e-05,0.6746183633804321,0.30963385
C2N2,0.00010716369,0.5096867084503174,0.0689265
N,0.00011359873,0.9808716773986816,0.62322456
C1H1N1_1,0.00011492066,0.9492992758750916,0.19756973
C1O1S1,0.00013652432,0.8785064220428467,0.41701582
S4,0.00014340946,0.9885028004646301,0.19058028
S3,0.00017539659,0.993513286113739,0.18406066
S6,0.00018884605,0.9859955906867981,0.28238165
H3N1,0.0002028796,0.8905410170555115,0.66866124
O1S1,0.00022475459,0.9909264445304871,0.45800444
O3S1,0.00029236887,0.8965432643890381,0.9050922
S7,0.00034572155,0.9926091432571411,0.42643374
C2H4,0.00039341982,0.7368011474609375,0.73010504
S8,0.00041185078,0.9924302101135254,0.88589525
C,0.0004951069,0.9986879229545593,0.9998232
O,0.0007550508,0.9994202256202698,0.9999927
C3,0.00078985555,0.9991159439086914,0.9833978
H2S1,0.0007915624,0.984748125076294,0.9721576
C3H1,0.00088847795,0.9919921159744263,0.86741465
C1S1,0.0008963519,0.9945888519287109,0.97817856
C1H4,0.0010045501,0.8292794823646545,0.9315411
S,0.0010143041,0.999335765838623,0.99999136
