species,MAE,R2,max_abundance,mean_abundance
C5,0.2117267766410749,-36.506085617231506,0.999620169032292,0.0820709687453505
N2,0.146315131374325,-2.288427988441219,0.9999963706635222,0.18452917839199645
O2,0.1226019529361434,-11.31710180077786,0.9999996074720752,0.13012631769838812
S2,0.08481238161319785,-2.3523144744126627,0.9996140530297684,0.1090495161790664
H2,0.04830986143231656,-0.13398075587733893,0.9999874911935336,0.1186146603559978
C3,0.017473664956075243,0.141104871313098,0.980066524208727,0.03131893566039132
O,0.014313256762213265,0.8203443250944251,0.9968346650841948,0.04413280286123116
S,0.014096711299102766,0.8417219484949587,0.9999337481303984,0.05136070316000977
C1O1,0.01055304760670968,0.7495756955913346,0.97608357133765,0.03119922297589125
C1S2,0.01024231927527532,0.24758173118455773,0.959236691382801,0.016479493205644586
C4N2,0.009581067756456745,-0.6937832687067029,0.7849343193739441,0.008457477493341699
C3H1,0.008226057679275792,0.29067132767356896,0.6491568617257721,0.012720554577281343
H,0.008220787456419116,0.9480301842245176,0.9958580755133878,0.04692350877802887
O2S1,0.007959699906100839,0.6920950467420859,0.8536364948711903,0.017267348017222125
C1S1,0.007058443029895229,0.7699279363361123,0.894652742990243,0.016825065180017463
C2H2,0.0052991102004705205,0.5043599854740719,0.7409701240514976,0.00857680789376402
C,0.004724642611193243,0.9027451101874789,0.9937055283486538,0.017402271796475206
C1O2,0.004714684387664949,0.26306985226848956,0.8632370705146852,0.008123150884468413
H2O1,0.0034474758092687846,0.9533971281850817,0.9635685718519889,0.01443294872668021
H2S1,0.003243651794136583,0.8633387989782957,0.9365323744590576,0.008970741187144388
e-,5.251724671720934e-07,0.7690552771319598,0.000237403407031,1.0731245621309052e-06
