dataset,total_samples,val_loss,test_loss,log_mae,log_r2,linear_mae,linear_mse
base,12412,0.0007538837574732,0.0009229092975147,0.1439389,0.980679,0.0174242639914155,0.0087673095986247
x32_optimal,31997,0.0010683047335727,0.0010557569185039,0.3072669,0.993659,7.60459625165226e+20,inf
x48_optimal,47997,0.0009244640474207,0.0005857436277437,0.2355877,0.996571,2.9910741895439745e+20,inf
x64_optimal,63985,0.0005165382518988,0.0005847724844768,0.1790801,0.996741,1.573312814007666e+20,inf
x80_optimal,79992,0.0005301788687575,0.000707604260242,0.162909,0.996248,3.695100008223086e+20,inf
x96_optimal,96000,0.0006230784086878,0.0004920949460938,0.1810133,0.99749,1.8317462177101696e+20,inf
x112_optimal,112000,0.0003580253168448,0.0005196021877716,0.1347407,0.997487,2.8268092426258e+20,inf
x128_optimal,128000,0.0004495371706434,0.0004807231122798,0.1240299,0.997714,1.8376753629194096e+20,inf
x144_optimal,144000,0.0003634298622712,0.000562382376908,0.1476651,0.997453,1.984093672177541e+20,inf
latent128,160000,0.0004539569395092,0.0004388010302136,,,3.3558089442966425e+20,inf
latent160,160000,0.0004756934849865,0.0005247863500699,,,2.621302059652046e+20,inf
latent192,160000,0.0003105062003214,0.000339475053579,,,1.8408698827340828e+20,inf
latent256,160000,0.0004538452035376,0.0004497036079555,,,2.8131425559846584e+20,inf
latent320,160000,0.0003799522387453,0.0003646500786089,,,1.4322005971676484e+20,inf
latent384,160000,0.000391378433278,0.0004455575221982,,,1.756056007678372e+20,inf
latent448,160000,0.0004770785781147,0.0005676009932358,,,2.526620364605185e+20,inf
latent512,160000,0.0003379681559181,0.0003544606970535,,,2.056502227395024e+20,inf
latent64,160000,0.0004603075130944,0.0004628629758371,,,2.4623753504384195e+20,inf
latent96,160000,0.0003886261117713,0.0003749810261979,,,1.893402486724918e+20,inf
x160_logratio,160000,0.0001402773519032,0.0001674213556839,0.02531708,0.999294,5.348757986733772e+19,inf
x160_new,160000,0.0001774542062094,0.0002055065219792,0.05637751,0.999145,8.007039772528738e+19,inf
x160_optimal,160000,0.0003105062003214,0.000339475053579,0.1090464,0.998336,1.8408698827340828e+20,inf
x176_optimal,176000,0.0004473112265778,0.0004100549360575,0.1168692,0.99796,1.5968220808666297e+20,inf
x192_optimal,192000,0.0003840472146341,0.000401952778032,0.1113144,0.997957,1.297314248768496e+20,inf
x208_optimal,208000,0.0004574218633578,0.0004813257771837,0.1539279,0.997451,1.9924517985132187e+20,inf
x224_optimal,224000,0.0004813981143921,0.0004971334135255,0.146469,0.997552,2.445773847860196e+20,inf
x160_static_32,160000,,0.0001504494112225,0.02235361,0.999358,3.3300661623932846e+19,inf
