model_name,dataset_size,latent_dim,encoder_hidden,encoder_layers,dynamics_hidden,dynamics_layers,decoder_hidden,decoder_layers,activation,dropout,learning_rate,batch_size,epochs,weight_decay,grad_clip,loss_type,loss_delta,scheduler_type,scheduler_factor,scheduler_patience,scheduler_min_lr,train_samples,val_samples,test_samples,notes
base,12412,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,10549,1242,621,Initial baseline model
x32,31997,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,27197,3200,1600,32K samples dataset
x48,47997,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,40797,4800,2400,48K samples dataset
x64,63985,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,54387,6399,3199,64K samples dataset
x80,79992,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,67993,7999,4000,80K samples dataset
x96,96000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,81600,9600,4800,96K samples dataset
x112,112000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,95200,11200,5600,112K samples dataset
x128,128000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,108800,12800,6400,128K samples dataset
x144,144000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,122400,14400,7200,144K samples dataset
x160,160000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,160K samples dataset (original)
x160_new,160000,128,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Best model - improved architecture with latent_dim=128
x160_optimal,160000,192,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,huber,0.02,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,Optimal hyperparameters from study (latent_dim=192)
x160_mse,160000,96,"[512, 512, 512]",3,"[512, 512, 512]",3,"[512, 512, 512]",3,silu,0.0,0.0005,512,200,0.00001,5.0,mse,N/A,ReduceLROnPlateau,0.5,10,1e-06,136000,16000,8000,MSE loss experiment (numerically unstable)
