latent_dim,test_loss,val_loss,test_mae_linear,train_samples,training_time
64,0.00046286297583719715,0.00046030751309444895,2.4623753504384195e+20,136000,308.8766701221466
96,0.00037498102619792917,0.00038862611177137296,1.893402486724918e+20,136000,359.22946214675903
128,0.0004388010302136536,0.0004539569395092258,3.3558089442966425e+20,136000,329.1273658275604
160,0.0005247863500699168,0.0004756934849865502,2.621302059652046e+20,136000,335.4148142337799
192,0.0003394750535790081,0.0003105062003214698,1.8408698827340828e+20,136000,361.37578225135803
256,0.00044970360795559827,0.00045384520353763946,2.8131425559846584e+20,136000,360.8541510105133
320,0.0003646500786089746,0.00037995223874531803,1.4322005971676483e+20,136000,391.6613359451294
384,0.00044555752219821443,0.00039137843327807786,1.756056007678372e+20,136000,364.36239314079285
448,0.0005676009932358284,0.0004770785781147424,2.526620364605185e+20,136000,408.08822202682495
512,0.0003544606970535824,0.00033796815591813356,2.056502227395024e+20,136000,371.29380893707275
