species,MAE,R2,AAFE,max_abundance,mean_abundance
N2,3.3762634553469317e+19,0.9989669413325277,203708183621.55298,1.287562688210824e+24,2.4037768502773164e+21
C5,2.0585977861994136e+19,0.9858195660549688,380082.99018553545,7.555738547643855e+23,1.267594183116974e+21
O2,1.9333494810804548e+19,0.9987769595432908,9.46689249809304e+23,1.285738947939488e+24,2.0121991556357376e+21
O2S1,1.2802476773771379e+19,0.8849540174440456,4.1291685769875196e+26,4.270817226188578e+23,2.9894117732186515e+20
C4N2,1.271676417438021e+19,0.9812189829591322,9.590321487657581,1.2190704708166934e+24,3.047994899108759e+20
H2,1.225317294166167e+19,0.9937980632947655,4.363347087883681e+24,6.869348374340399e+23,1.2081008392832376e+21
C2H4,1.1317810539783135e+19,-0.044953150708267886,2.770224343591371e+39,5.083151580270199e+23,4.210721434975969e+19
C1H4,1.0756055878221695e+19,0.8630838993978843,5.848923761367624e+38,5.177117818274406e+23,1.2044866511083723e+20
C2H2,1.0380341856138273e+19,0.8359971440787772,3.6492470685330144e+24,5.1414414986260215e+23,2.133415892724861e+20
C3H1,9.402980576580039e+18,0.9134421212634735,194797401.33617705,5.083151580270199e+23,2.2527729530527737e+20
S8,5.61315948311428e+18,0.9909764427495574,1.3319220658344622e+26,5.513981048995512e+23,2.9974160585553825e+20
S7,5.610972055143905e+18,0.9922977406152469,2.9027749709363617e+29,3.943573520318635e+23,3.974077047969048e+20
C1S2,5.443128828096516e+18,0.9989473348050242,19273844598.28514,1.114952101861092e+24,4.7127655711667605e+20
O3S1,5.007049928206565e+18,0.9841635626373517,1.0761727709184986e+17,7.548216779777745e+23,8.826898434998713e+19
S2,4.2400157950733204e+18,0.9924715599071751,99949801.53911373,2.292499955249256e+23,5.843407540386568e+20
S4,2.9974294513888e+18,0.9648584600935596,1.8910207520798197e+22,2.292499955249256e+23,1.77869133721141e+20
S6,2.9128593338630574e+18,0.9301863095992302,1.4667869377918404e+26,2.292499955249256e+23,1.0725443385573104e+20
H2S1,2.786304640010433e+18,0.9997617468656832,2.236915660283587e+27,5.0057380148995255e+23,3.316867194887583e+20
S3,2.684661462116874e+18,0.9570668376843212,934402196602609.4,2.292499955249256e+23,1.772755730878008e+20
C1O1,2.646141077296497e+18,0.9993628667579882,2.6851784312493164e+16,5.5335135681142485e+23,2.5515506742238233e+20
S5,2.504143411462438e+18,0.8148551748915482,1.4461933890170724e+21,2.292499955249256e+23,2.5940335133786714e+19
C1O2,2.3408907245754783e+18,0.9992823453508797,3.4229706712221635e+28,5.82189300507779e+23,1.5038016854052222e+20
O1S2,2.2640733268199767e+18,0.9176432455818453,7.71110277208636e+22,2.292499955249256e+23,4.609824522637149e+19
H2O1,2.0519813148519718e+18,0.9997426416857084,1.9857026141839874e+31,4.598398349226981e+23,2.0878143618547935e+20
H3N1,1.3522920870522301e+18,0.9984486254370732,6.414560650637307e+20,2.647814741732039e+23,7.334079370362762e+19
C2N2,1.297713331338875e+18,0.8579633481292606,116750369094.35945,1.3396716407533408e+23,1.1882729234974988e+19
H2O4S1,4.976234007567204e+17,0.9847486088697552,3131.9430776413396,9.099326883014316e+22,1.050489223682404e+19
C3O2,2.5156476823672512e+17,0.9991518409786564,6.704500143031866e+28,1.1241661169539298e+23,1.2724087020724208e+19
C1H1N1_1,2.1746611056763328e+17,0.9953707093507862,7356369831241.889,4.166352947933036e+22,1.1783333550793101e+19
N1O1,1.4004146441253891e+17,0.9805303659386654,22258974901.65937,2.316511309519969e+22,9.61664773711793e+18
C1S1,1.1694290450244699e+17,0.9996366774334755,143961.00879791036,2.275835574980324e+22,1.5950584376080169e+19
C1O1S1,1.1245658593839997e+17,0.999935047665807,2.0362227066037177e+23,9.670158700458104e+22,1.6210300831927708e+19
e-,9954737249.295683,0.9994840703062056,17.35956662614517,547929592433457.94,634333389509.1495
