species,mean,min,max,std,median,p95,non_zero_fraction,non_zero_count,cumulative_coverage
N2,2.2654412429583285e+21,1.1199313022748562e-08,8.274049998816644e+23,2.0598001911915637e+22,1445267733054.6694,1.285731223959672e+21,1.0,160000,20.973717809105086
O2,1.8938621649933584e+21,2.1081928538045431e-75,6.57955716201788e+23,1.8907181514150847e+22,33.01967202191004,8.226553571970446e+19,0.99104375,158567,38.50731341277715
C5,1.1674258337806381e+21,1.7193077771713178e-140,5.3711318346341934e+23,1.2384332895705681e+22,3.248946154073632e-22,1.7636195943423142e+19,0.56765,90824,49.31547719847756
H2,1.1031703639880965e+21,1.5432479269638992e-27,6.707616564513162e+23,1.2678027100126982e+22,4028260685.9453745,1.4084766118085984e+20,1.0,160000,59.528756391470374
S2,5.777897724740051e+20,1.3321828297728352e-24,1.32250507756844e+23,4.83646616464567e+21,4200066.776466001,1.9756676717764913e+20,1.0,160000,64.87800112625415
C1S2,4.259485625760042e+20,6.176843209264559e-47,5.6552527594967256e+23,8.05271481113968e+21,458.584482613832,4.663534926397136e+18,0.98798125,158077,68.82148232685104
S7,3.698742818511876e+20,6.022185356149157e-137,2.830466978460834e+23,5.598924883639908e+21,1.791661385369535e-34,207207982015089.3,0.463,74080,72.2458213321134
H2S1,3.183122000607842e+20,1.6701965905289386e-37,2.929181550887608e+23,5.629753199581917e+21,762.9317267057768,3.4871316869057725e+18,0.999825,159972,75.19279260317235
S8,2.7400094455878828e+20,1e-155,3.062195458849019e+23,5.040966956511434e+21,6.199172759621059e-43,5461058652864.973,0.39533125,63253,77.7295251308718
C4N2,2.6356261462574485e+20,2.337482332734726e-115,3.91838617305725e+23,5.482569246743419e+21,1.42808397987697e-17,2.6864782739855293e+17,0.62875625,100601,80.16961838924811
C1O1,2.5697832915412858e+20,2.467675674303378e-13,3.50874582827089e+23,4.376649570949352e+21,97567060269.14194,8.233119549174111e+18,1.0,160000,82.54875356897838
O2S1,2.5572071515178454e+20,1.70074713055044e-75,2.572107300202661e+23,4.762200545193184e+21,318.3620808501764,2.2408158337446753e+18,0.9787375,156598,84.91624561239695
C3H1,2.0917551048487302e+20,1.2187404671994398e-83,2.0136552110734302e+23,3.916857132030485e+21,1.0139746855803341e-07,1.5863202416702134e+17,0.801075,128172,86.85281675195836
C2H2,1.8872616965818886e+20,1.0320150159468392e-64,3.1141167962972776e+23,4.3722831453707745e+21,0.00024892955862,3.3127735269895496e+16,0.912825,146052,88.60006552210753
H2O1,1.8135275155931723e+20,6.283617253084006e-67,3.108557738198651e+23,3.2108621973586067e+21,98451.89951725255,6.275873465522211e+18,0.9993125,159890,90.2790503322114
S3,1.7053846075345617e+20,1.3704038540783734e-47,1.1313990109069492e+23,1.7946104648923053e+21,0.0165261522232044,5.442869884717928e+18,0.98425,157480,91.85791518362167
S4,1.684759811528855e+20,4.6137686343049746e-70,1.1313990109069492e+23,1.9859066163103783e+21,1.81376786535064e-10,4.8896669121691757e+17,0.84755,135608,93.41768535965079
C1O2,1.5483021334449206e+20,5.62206639380542e-53,2.792427010281563e+23,3.5855251350698517e+21,564852.5837583919,1.3369407496885097e+18,0.99985,159976,94.85112143445727
C1H4,1.0776720927218267e+20,5.173024912239474e-69,3.281316605643814e+23,3.573356018424188e+21,6.984748417535465e-10,3.0091085941897732e+16,0.87309375,139695,95.84884275844885
S6,9.887047824755709e+19,7.844809023224797e-115,1.1313990109069492e+23,1.4715580229745666e+21,5.020819896237792e-27,786564039324586.9,0.54105625,86569,96.76419711463053
O3S1,9.490767702315445e+19,4.905409239140863e-123,7.644823454642848e+23,4.832100634701574e+21,5.929635941437615e-09,5202164072854765.0,0.79144375,126631,97.64286339740816
H3N1,5.5814368158754324e+19,1.0781902785861538e-51,1.1360842232485733e+23,1.37601249302087e+21,0.0019700461277157,1.0029390124696002e+16,0.9702375,155238,98.15959929205734
O1S2,4.045084880395179e+19,9.123049271051877e-47,1.1313990109069492e+23,9.853786220004615e+20,0.2854291259469309,2.465842872494783e+16,0.9926375,158822,98.53409794241517
C2H4,2.548561753511508e+19,1.043817979785186e-93,1.0805070287269624e+23,8.038154265622504e+20,1.2329595409854512e-16,80216642503139.4,0.70979375,113567,98.77004674578129
S5,2.173690037940112e+19,4.345927573642101e-93,1.1313990109069492e+23,7.568721393606859e+20,1.3156674092892954e-19,2853722286350280.5,0.66346875,106155,98.97128949088416
C1S1,1.4932292537808372e+19,3.653873659084747e-32,2.0120944234314905e+22,3.055418773469836e+20,21839142.035323855,5.435160769706933e+17,0.99995625,159993,99.10953438728323
C1O1S1,1.3805697124621394e+19,7.825692186335439e-25,5.849721256590706e+22,5.774690803953859e+20,1699.5536680744788,1.9984067318895092e+16,1.0,160000,99.23734913266665
C1H1N1_1,1.115925116325587e+19,1.3229241167241358e-29,2.5754745527051735e+22,3.318478481497579e+20,6868.718168441723,1.8135276398283948e+16,1.0,160000,99.34066277436298
H2O4S1,9.528653401136208e+18,1e-155,8.38014013127379e+22,5.607101872220477e+20,8.398515027746007e-27,26773430270.962273,0.5419625,86714,99.42888015283499
C3O2,9.332659213394516e+18,7.4937846841431285e-59,7.193013853489729e+22,5.086792549965069e+20,1.753281514946453e-12,86282750610.69205,0.9020625,144330,99.5152829943824
N1O1,9.312362221352968e+18,7.449157738790871e-23,1.2383062817675275e+22,1.6858054493890907e+20,99370.74443631605,5.429051173980975e+16,1.0,160000,99.6014979240231
C2N2,8.887285015241995e+18,1.0012205839157056e-57,1.5604401222288855e+22,2.009013914492729e+20,0.0002878063098298,3642195011932005.5,0.93578125,149725,99.68377743958246
O1S1,8.590449644733687e+18,3.963159470816737e-37,1.1313990109069492e+23,7.369902497731278e+20,2132497.6960070557,3.2174747420288104e+16,0.99995625,159993,99.76330881884996
H1S1,3.847767317080398e+18,2.810975214518635e-18,3.3510186439439145e+21,6.357165031209515e+19,3266272.8027298804,2.6951949734992848e+17,1.0,160000,99.79893189499654
N1O2,3.435757457144142e+18,1.1636775958232081e-61,4.762144411956917e+21,6.985634137563844e+19,1.3306703752436078e-06,509174348749633.75,0.9341375,149462,99.83074053606842
C3,2.852858791554446e+18,1.1278576664558344e-82,1.8456480068151935e+21,4.027991801775705e+19,5.1208170975189984e-08,1.363400907779883e+17,0.8234875,131758,99.85715263368043
C1H1N1_2,1.3769870893924388e+18,1.0055117462131566e-31,4.836620451028635e+21,5.075118674355635e+19,395.44020622745194,1259553822204375.8,0.9999,159984,99.86990093987883
C2N1,1.3500507304358973e+18,2.3287811252881525e-56,1.5604401222288855e+22,1.2268669751145597e+20,0.0067086013087764,726097416383344.2,0.94680625,151489,99.8823998661415
C1N1,1.2884836254459569e+18,1.6298366247016458e-27,1.5604401222288855e+22,1.2267772764762843e+20,22944.08925018579,221863865133053.25,1.0,160000,99.89432879700463
C1N2_ncn,1.2804124294622574e+18,4.757243227035973e-40,1.5604401222288855e+22,1.2267770649937032e+20,0.0002306064006345,4020988242.988639,0.9950625,159210,99.90618300379913
N,1.2803700085314056e+18,6.796160417941027e-10,1.560440110602701e+22,1.2267770601529455e+20,2246432.912870464,4100374203373.1514,1.0,160000,99.91803681785574
N3,1.2803587741101975e+18,5.766558639152798e-36,1.5604401222288855e+22,1.2267770704655314e+20,7.137032575011258e-06,1203774569.146999,0.9991375,159862,99.92989052790277
C1N2_cnn,1.2803570028041014e+18,1.1277802586140984e-44,1.5604401222288855e+22,1.2267770706502653e+20,3.2345407763372736e-07,18927096.630674463,0.9827125,157234,99.94174422155085
N2-,1.2803564201149993e+18,5.9095566155582174e-30,1.5604401222288855e+22,1.2267770707110599e+20,3.764956316998444e-06,7996047.828004274,1.0,160000,99.9535979098043
N2+,1.2803564008010002e+18,6.654209588116818e-50,1.5604401222288855e+22,1.2267770707130756e+20,1.7601257984309463e-12,3.1337297029278366,0.9244125,147906,99.96545159787897
C4,6.69737914269768e+17,3.7700567687859603e-115,5.62521507954553e+20,1.078014842038269e+19,2.5903982047625024e-17,8358758580719428.0,0.648675,103788,99.97165210917608
H1O1,6.65946114390583e+17,2.9928295455179556e-52,1.2576736541287034e+21,1.4053647075345752e+19,180297.7630175352,1.905054004015931e+16,0.99985,159976,99.9778175155501
C2H1,6.585816050381508e+17,7.444624083826615e-57,1.22629091479433e+21,1.7642141199209077e+19,0.0255817433509982,2572055317025206.0,0.94681875,151491,99.98391474044227
S,3.4099035910055776e+17,5.376388821787721e-09,1.202544835515159e+20,3.37482220039434e+18,11591213289.853989,2.097587807072056e+17,1.0,160000,99.98707166874028
H1O2,3.36898220680224e+17,1.256151608397499e-100,9.207876201250652e+20,9.128269896322833e+18,3.7242031332686146e-06,111963574119005.86,0.92905,148648,99.99019071154615
C1H3,2.3606435695454237e+17,5.466249756228012e-57,9.103577497319772e+20,6.934419783159278e+18,1.4868338157169618e-06,210348884915564.88,0.9498375,151974,99.99237622274532
H,1.7523764599954608e+17,6.511921571144902e-11,9.129554760641646e+19,1.9401301314650068e+18,85639501441.26688,1.1675244076774384e+17,1.0,160000,99.99399859319882
O,1.3448480743754312e+17,1.144649348488645e-35,9.795270604889096e+19,1.6756902086703898e+18,6776474.477436048,2.114895765211243e+16,0.99995625,159993,99.99524366914576
H1N1O2trans,8.672699943359813e+16,8.293673703981345e-83,2.5702272919089696e+20,2.733777491183366e+18,3.334009719600064e-11,392516333673.267,0.8500125,136002,99.99604659776648
H1N1O2cis,7.538265961174688e+16,6.649710143700503e-83,2.274297714038405e+20,2.389172806120028e+18,2.848199204973297e-11,335168907879.78735,0.8491625,135866,99.99674449917325
N1S1,7.090127956212739e+16,2.4468546575923648e-17,4.103278011896361e+20,3.421108458591546e+18,12527.626911787607,381932566467404.8,1.0,160000,99.99740091144368
N2O1,6.525849655291561e+16,1.2834444232771096e-36,1.4362058493243018e+20,1.691092225379192e+18,0.001829690771889,3514750829093.1543,0.997625,159620,99.99800508217447
O3,6.0593766280093864e+16,1.4230864192913423e-131,1.11220229870636e+20,1.079185732959621e+18,5.924262027852358e-15,14337667486532.863,0.73965625,118345,99.99856606629133
H2O2,5.8469014069483624e+16,5.401781295761095e-121,2.39672943289882e+20,2.2426191837273723e+18,2.8228755341920375e-10,765347339601.1786,0.8420875,134734,99.99910737920575
C1H2O1,3.0351414769505068e+16,7.365361371518783e-65,1.725771704916764e+20,1.489047802479472e+18,0.0001036092309172,818906148069.485,0.99168125,158669,99.99938837612432
H2N1,1.6913532306712508e+16,2.85237283385203e-35,4.899864185376366e+19,4.719191243865281e+17,0.1296149985522556,9473128850522.623,0.99940625,159905,99.99954496356831
H1N1O3,1.4298766126399668e+16,1.0653568108758008e-131,7.601030503218902e+19,5.013919687920215e+17,1.3690538128100048e-22,1116367960.745999,0.6232875,99726,99.99967734320371
C2O1,1.2512761747048352e+16,3.2361223689401914e-42,5.342174329124305e+19,4.276385751813514e+17,0.0011538412996821,1092879386786.256,0.99255625,158809,99.9997931878034
C1H1N1O1,5675781659599338.0,2.8116150071481616e-35,6.308331514629317e+19,3.9599858003963725e+17,0.00064315520939195,129391777413.62682,0.99925,159880,99.99984573484838
C1N1-,3787172850303746.0,8.727707467931974e-36,5.4068735910811754e+19,3.7744470464806816e+17,0.23824267880404834,78982913153.25284,0.9996,159936,99.99988079693392
N1O3,3235022314519513.5,1.5341061463425799e-114,6.445837661288209e+18,8.64375712416257e+16,1.405300776592102e-20,6489360082.672857,0.658475,105356,99.99991074714576
C1H1O1,2853040645480721.0,1.2835039531526982e-44,1.2926291569374816e+19,1.1429738477759112e+17,1.3781668994494685,865005103422.462,0.99985,159976,99.999937160927
