species,MAE,MSE,max_error,mean_abundance,median_relative_error
C5,0.3354843358622313,15.559332525129353,95.1155085532241,0.07869023085423364,0.9730604910418827
O2,0.13767114639076405,0.5077561215850681,11.768732083858914,0.12640652873201735,0.6214721673092182
H2,0.0972065601477726,0.24280301741488888,7.512290998812589,0.1087974557046999,0.5432619973425395
N2,0.09718697024279989,0.09408536842036139,3.404142943190588,0.19762334197363773,0.41964036216324324
comp_N,0.07394450605935163,0.064653941916511,4.569938538070474,0.2046195511240418,0.2660483935747143
S2,0.06835655540421418,0.08780979647301979,4.640429296251607,0.10388016461752189,0.5816154024483832
comp_S,0.048518257041324474,0.018871233222622574,1.4953015359844846,0.2015560699709628,0.24159437994461086
comp_H,0.041287779420369375,0.013103811637080881,1.1259821415006526,0.17970083937308776,0.2052477678975086
comp_O,0.039643830865176664,0.008897300257485072,0.5854333148086281,0.21237950826026425,0.20030984730226387
comp_C,0.03572904524245115,0.006911577925330684,0.4606635249214528,0.20174403127164334,0.20014367012361622
C3,0.020297986444753956,0.012570278949908443,1.7843666557278213,0.02320309871785241,0.7661613617450707
S,0.018442294576150535,0.00798135667246303,1.024029187820945,0.05203180150456529,0.41666101309984
C1O1,0.017542708978448805,0.009740137225402134,1.454369295303123,0.03567566021057712,0.36067918987470116
O,0.016404007070999822,0.007117421103327902,1.2531095676862045,0.048126758607622985,0.33886725197751266
H,0.015599637316967962,0.008150913773347113,0.9612696031004992,0.04332991675226255,0.325756362857423
C,0.01340851415641325,0.014954442350165954,2.1058146445586834,0.02086873518816178,0.4781438438118817
C1S2,0.010843761953019837,0.004325067601966351,0.9388028762299133,0.018217812724077388,0.5184387851148973
C1S1,0.010344520516644504,0.01086211594298817,2.1968420601924215,0.01600803481366172,0.3960409898603314
O2S1,0.009795067030366422,0.003316477013058357,0.8113402701343171,0.015804488665814555,0.6200480079341508
H2O1,0.007996788995063094,0.001669515817802826,0.46678021886902477,0.015214937627978922,0.4947620057037773
e-,3.0951790158221285e-07,6.852000379658087e-12,3.995513939508005e-05,1.0652153104638325e-06,0.40392536580087207
