species,MAE,R2,max_abundance,mean_abundance
C5,0.3354843358622313,-287.56870802924755,0.9998720501169625,0.07869023085423364
O2,0.13767114639076405,-4.828074162653234,0.9999945885554324,0.12640652873201735
H2,0.0972065601477726,-2.2314289264999765,0.999983580568333,0.1087974557046999
N2,0.09718697024279989,0.19698633590605996,0.9999521745234118,0.19762334197363773
comp_N,0.07394450605935163,0.44555043136057737,0.9999518857188084,0.2046195511240418
S2,0.06835655540421418,-0.2984948189774652,0.9979907055653776,0.10388016461752189
comp_S,0.048518257041324474,0.8476174053282508,0.9999995000046634,0.2015560699709628
comp_H,0.041287779420369375,0.8784921230755924,0.9999917645345632,0.17970083937308776
comp_O,0.039643830865176664,0.9281256379819782,0.9999969419139813,0.21237950826026425
comp_C,0.03572904524245115,0.9388212011091932,0.9999997288754766,0.20174403127164334
C3,0.020297986444753956,-0.30344685204015587,0.8294286262203243,0.02320309871785241
S,0.018442294576150535,0.7835131673040526,0.9982511693824808,0.05203180150456529
C1O1,0.017542708978448805,0.4442566859494599,0.911978651803171,0.03567566021057712
O,0.016404007070999822,0.786085808883362,0.9999445743120864,0.048126758607622985
H,0.015599637316967962,0.7182716881482899,0.9972978703141744,0.04332991675226255
C,0.01340851415641325,0.06572451672969337,0.9916257942688138,0.02086873518816178
C1S2,0.010843761953019837,0.47517565630531655,0.9669419361327204,0.018217812724077388
C1S1,0.010344520516644504,-0.7398184907104219,0.8169591838725787,0.01600803481366172
O2S1,0.009795067030366422,0.5313185134550941,0.9656452655166328,0.015804488665814555
H2O1,0.007996788995063094,0.6791517363037609,0.856190833836371,0.015214937627978922
e-,3.0951790158221285e-07,0.937227310750112,0.0001595678988796,1.0652153104638325e-06
